Path_Number,Command_Timeout(s),Num_Iteration,Total_Path_Latency(s),Accuracy,Num_Unique_Msgs,Num_Timeouts,Command_Latency_Metrics
1,0.3,1,77.94911003112793,94.24855649141762,361,0,"[0.07176971435546875, 0.08973908424377441, 0.06849908828735352, 0.06447386741638184, 0.06907987594604492, 0.06296610832214355, 0.06614303588867188, 0.06474590301513672, 0.062016963958740234, 0.06169295310974121, 0.0655670166015625, 0.06372404098510742, 0.06538820266723633, 0.06928610801696777, 0.06296324729919434, 0.06341409683227539, 0.06340980529785156, 0.06686806678771973, 0.06899023056030273, 0.06394004821777344, 0.06373286247253418, 0.06840705871582031, 0.0675048828125, 0.06901931762695312, 0.06776905059814453, 0.0673983097076416, 0.08678817749023438, 0.06927895545959473, 0.06747221946716309, 0.061041831970214844, 0.06360340118408203, 0.06470608711242676, 0.06180214881896973, 0.062471866607666016, 0.06403279304504395, 0.06667613983154297, 0.06346011161804199, 0.06482982635498047, 0.06533002853393555, 0.06128215789794922, 0.06475090980529785, 0.060790061950683594, 0.0641169548034668, 0.06314396858215332, 0.06301212310791016, 0.06618690490722656, 0.06392812728881836, 0.06485390663146973, 0.06520295143127441, 0.09234404563903809, 0.062339067459106445, 0.06285381317138672, 0.06132984161376953, 0.06270790100097656, 0.06378602981567383, 0.06096816062927246, 0.06184029579162598, 0.06245708465576172, 0.061679840087890625, 0.06691789627075195, 0.06470584869384766, 0.06276297569274902, 0.0615229606628418, 0.0629720687866211, 0.06159806251525879, 0.06622195243835449, 0.2181718349456787, 0.0625309944152832, 0.06408381462097168, 0.0630040168762207, 0.11447978019714355, 0.06102299690246582, 0.06260395050048828, 0.06131720542907715, 0.06372189521789551, 0.06798100471496582, 0.06698012351989746, 0.06835198402404785, 0.06686210632324219, 0.06451272964477539, 0.06547880172729492, 0.07067203521728516, 0.06894588470458984, 0.06643486022949219, 0.06840705871582031, 0.06804680824279785, 0.06522178649902344, 0.06398487091064453, 0.06403493881225586, 0.06470394134521484, 0.06417703628540039, 0.06600689888000488, 0.06530404090881348, 0.06679391860961914, 0.06411099433898926, 0.08194470405578613, 0.06534075736999512, 0.06490015983581543, 0.06556010246276855, 0.06748604774475098, 0.06506896018981934, 0.0625007152557373, 0.06433796882629395, 0.06656789779663086, 0.06455707550048828, 0.06594610214233398, 0.06548213958740234, 0.06485891342163086, 0.06355595588684082, 0.06367015838623047, 0.06743907928466797, 0.06429839134216309, 0.06586813926696777, 0.06430625915527344, 0.0648350715637207, 0.06617021560668945, 0.06633806228637695, 0.06263303756713867, 0.06425690650939941, 0.0643157958984375, 0.06637787818908691, 0.06355810165405273, 0.064208984375, 0.06529378890991211, 0.06647109985351562, 0.06609082221984863, 0.06732606887817383, 0.06650972366333008, 0.06414389610290527, 0.06448221206665039, 0.07035017013549805, 0.06345224380493164, 0.06256794929504395, 0.06285786628723145, 0.06503510475158691, 0.0626990795135498, 0.06379175186157227, 0.06302213668823242, 0.06531381607055664, 0.062357187271118164, 0.07397985458374023, 0.07525897026062012, 0.0746607780456543, 0.06620502471923828, 0.08065295219421387, 0.06633901596069336, 0.06601190567016602, 0.06837725639343262, 0.06590104103088379, 0.06786513328552246, 0.06803417205810547, 0.06672000885009766, 0.0668790340423584, 0.06534290313720703, 0.06651115417480469, 0.06988692283630371, 0.06675100326538086, 0.06768178939819336, 0.06499290466308594, 0.06343817710876465, 0.06718111038208008, 0.0641789436340332, 0.07299423217773438, 0.06660866737365723, 0.06179499626159668, 0.0629129409790039, 0.0651099681854248, 0.06321477890014648, 0.06391501426696777, 0.06730294227600098, 0.06643509864807129, 0.06297683715820312, 0.06388092041015625, 0.06551432609558105, 0.06713294982910156, 0.062261104583740234, 0.0624089241027832, 0.06343913078308105, 0.06084084510803223, 0.0632481575012207, 0.06405138969421387, 0.06745171546936035, 0.06298208236694336, 0.06125593185424805, 0.06772208213806152, 0.06280994415283203, 0.06911468505859375, 0.06664705276489258, 0.06972527503967285, 0.06613492965698242, 0.06369733810424805, 0.06420397758483887, 0.0646369457244873, 0.06511998176574707, 0.06264114379882812, 0.06367111206054688, 0.06907892227172852, 0.06270408630371094, 0.06430625915527344, 0.06186819076538086, 0.0662679672241211, 0.06248593330383301, 0.06244921684265137, 0.07534599304199219, 0.06435513496398926, 0.0653219223022461, 0.06547975540161133, 0.06520891189575195, 0.0647590160369873, 0.06495380401611328, 0.062098026275634766, 0.06413841247558594, 0.06308197975158691, 0.06348204612731934, 0.06342887878417969, 0.06383275985717773, 0.06301426887512207, 0.0646209716796875, 0.0646200180053711, 0.06205010414123535, 0.06286382675170898, 0.06410431861877441, 0.06248593330383301, 0.061782121658325195, 0.0631859302520752, 0.06502580642700195, 0.06610989570617676, 0.06107282638549805, 0.06403112411499023, 0.06319904327392578, 0.062161922454833984, 0.06324291229248047, 0.0634763240814209, 0.06398892402648926, 0.06290602684020996, 0.06332802772521973, 0.06376409530639648, 0.06754088401794434, 0.06435513496398926, 0.09446525573730469, 0.06600189208984375, 0.08973002433776855, 0.06405401229858398, 0.06432318687438965, 0.06790924072265625, 0.06392502784729004, 0.06241321563720703, 0.06221914291381836, 0.062005043029785156, 0.06299471855163574, 0.06210684776306152, 0.06345796585083008, 0.06389713287353516, 0.060961008071899414, 0.06108403205871582, 0.06072092056274414, 0.061511993408203125, 0.06180310249328613, 0.0609281063079834, 0.06104302406311035, 0.06356310844421387, 0.063079833984375, 0.0623629093170166, 0.06486916542053223, 0.06748223304748535, 0.06826615333557129, 0.06312704086303711, 0.060256004333496094, 0.06291031837463379, 0.06488585472106934, 0.06328105926513672, 0.06459498405456543, 0.06704115867614746, 0.06194925308227539, 0.0644826889038086, 0.0659639835357666, 0.06479930877685547, 0.0628509521484375, 0.06198906898498535, 0.0688929557800293, 0.06356000900268555, 0.061614036560058594, 0.0633080005645752, 0.06960177421569824, 0.06243300437927246, 0.06343293190002441, 0.06294679641723633, 0.06896281242370605, 0.06713414192199707, 0.06228017807006836, 0.061563968658447266, 0.0635521411895752, 0.0634608268737793, 0.06349325180053711, 0.06603503227233887, 0.06771421432495117, 0.06186699867248535, 0.06200885772705078, 0.0618743896484375, 0.0659022331237793, 0.06364703178405762, 0.06558418273925781, 0.08377289772033691, 0.0763850212097168, 0.06365704536437988, 0.062376976013183594, 0.06335997581481934, 0.06162309646606445, 0.06790304183959961, 0.06478309631347656, 0.06224703788757324, 0.06320810317993164, 0.06210589408874512, 0.062068939208984375, 0.061119794845581055, 0.0623781681060791, 0.06341695785522461, 0.061595916748046875, 0.06169581413269043, 0.06201815605163574, 0.06138968467712402, 0.0617368221282959, 0.06170487403869629, 0.06071305274963379, 0.06600666046142578, 0.06718206405639648, 0.0626821517944336, 0.06188392639160156, 0.06140613555908203, 0.0614781379699707, 0.06405782699584961, 0.060547828674316406, 0.062309980392456055, 0.060510873794555664, 0.062152862548828125, 0.06049513816833496, 0.061949968338012695, 0.06521487236022949, 0.06106400489807129, 0.06048417091369629, 0.062474966049194336, 0.06265902519226074, 0.0614018440246582, 0.06049680709838867, 0.06052684783935547, 0.06138014793395996, 0.061243295669555664, 0.06067800521850586, 0.06117391586303711, 0.07673287391662598, 0.0606541633605957, 0.0656118392944336, 0.06254696846008301, 0.06054878234863281, 0.06183624267578125, 0.06346297264099121, 0.06160783767700195, 0.06607198715209961, 0.06143903732299805]"
2,0.3,1,35.21714401245117,95.83421804950193,153,0,"[0.06712198257446289, 0.06309700012207031, 0.060784339904785156, 0.08117914199829102, 0.06209111213684082, 0.06906414031982422, 0.07322812080383301, 0.06272387504577637, 0.06340193748474121, 0.06284284591674805, 0.06348419189453125, 0.06331896781921387, 0.06144523620605469, 0.07122993469238281, 0.06245303153991699, 0.06323528289794922, 0.06357908248901367, 0.08241820335388184, 0.0641939640045166, 0.06314706802368164, 0.06178712844848633, 0.06291818618774414, 0.061324119567871094, 0.0652773380279541, 0.06453466415405273, 0.06173205375671387, 0.06526494026184082, 0.06843185424804688, 0.06418514251708984, 0.065155029296875, 0.06240487098693848, 0.06419610977172852, 0.06250619888305664, 0.06739497184753418, 0.06573224067687988, 0.06654810905456543, 0.07340288162231445, 0.06773805618286133, 0.06802010536193848, 0.06650304794311523, 0.06500697135925293, 0.06694602966308594, 0.06698393821716309, 0.06584787368774414, 0.06508803367614746, 0.06581997871398926, 0.06322574615478516, 0.06207585334777832, 0.08164024353027344, 0.0628349781036377, 0.06243395805358887, 0.06190896034240723, 0.06207895278930664, 0.06189918518066406, 0.06271886825561523, 0.06364703178405762, 0.06151986122131348, 0.06445908546447754, 0.06276726722717285, 0.06422615051269531, 0.06280803680419922, 0.06323099136352539, 0.06288909912109375, 0.06402802467346191, 0.06297612190246582, 0.0642402172088623, 0.063385009765625, 0.062196969985961914, 0.06327986717224121, 0.06288576126098633, 0.0630497932434082, 0.06352996826171875, 0.06446266174316406, 0.06086897850036621, 0.06501293182373047, 0.06219911575317383, 0.062459707260131836, 0.06210517883300781, 0.06319808959960938, 0.06389713287353516, 0.06368207931518555, 0.06217479705810547, 0.06504678726196289, 0.06284189224243164, 0.06166672706604004, 0.06216311454772949, 0.06270074844360352, 0.062499046325683594, 0.062272071838378906, 0.06289911270141602, 0.06168699264526367, 0.06431078910827637, 0.06240200996398926, 0.06092095375061035, 0.060810089111328125, 0.06045794486999512, 0.06404685974121094, 0.061981201171875, 0.06243896484375, 0.06123208999633789, 0.061801910400390625, 0.061351776123046875, 0.06434774398803711, 0.06097078323364258, 0.06343722343444824, 0.06290817260742188, 0.062027931213378906, 0.06247878074645996, 0.0631871223449707, 0.06240725517272949, 0.061544179916381836, 0.06218218803405762, 0.061048030853271484, 0.06242680549621582, 0.06271696090698242, 0.06388592720031738, 0.06356191635131836, 0.06276202201843262, 0.06155681610107422, 0.06689810752868652, 0.061562299728393555, 0.06253194808959961, 0.06222820281982422, 0.061628103256225586, 0.06183600425720215, 0.06286811828613281, 0.06836223602294922, 0.06264400482177734, 0.0635230541229248, 0.06517386436462402, 0.06566667556762695, 0.0619511604309082, 0.0627298355102539, 0.06212115287780762, 0.06175398826599121, 0.061402082443237305, 0.06248307228088379, 0.06227827072143555, 0.061823129653930664, 0.06442785263061523, 0.06220388412475586, 0.06263184547424316, 0.06122708320617676, 0.06429910659790039, 0.062425851821899414, 0.06224179267883301, 0.0637502670288086, 0.06361794471740723, 0.06294512748718262, 0.06145191192626953, 0.06377387046813965]"
3,0.3,1,58.18615508079529,86.52184307357793,268,0,"[0.0678257942199707, 0.06620407104492188, 0.07004094123840332, 0.06417584419250488, 0.06994318962097168, 0.06522202491760254, 0.07841324806213379, 0.06414008140563965, 0.07035684585571289, 0.06446099281311035, 0.07627010345458984, 0.07599377632141113, 0.06501603126525879, 0.06377792358398438, 0.06597709655761719, 0.07869386672973633, 0.06509113311767578, 0.06389284133911133, 0.06422710418701172, 0.06388282775878906, 0.06623983383178711, 0.06617403030395508, 0.06342601776123047, 0.06300902366638184, 0.06336021423339844, 0.0634000301361084, 0.06425595283508301, 0.06328201293945312, 0.06329679489135742, 0.06335592269897461, 0.06505894660949707, 0.062448740005493164, 0.06818723678588867, 0.06457901000976562, 0.06252217292785645, 0.06441092491149902, 0.061296939849853516, 0.06570887565612793, 0.06480002403259277, 0.06562304496765137, 0.06295299530029297, 0.06244707107543945, 0.0643148422241211, 0.06604886054992676, 0.06534099578857422, 0.06542181968688965, 0.06696414947509766, 0.06367802619934082, 0.06438207626342773, 0.06456208229064941, 0.06619381904602051, 0.06669020652770996, 0.06364798545837402, 0.06445980072021484, 0.06329798698425293, 0.06404566764831543, 0.06361198425292969, 0.06406092643737793, 0.06455206871032715, 0.06189584732055664, 0.06486868858337402, 0.06445097923278809, 0.06458806991577148, 0.06321167945861816, 0.0643317699432373, 0.06633806228637695, 0.06424880027770996, 0.06427693367004395, 0.0646810531616211, 0.06489801406860352, 0.0655980110168457, 0.06489014625549316, 0.06502699851989746, 0.06570124626159668, 0.06365513801574707, 0.06676411628723145, 0.06700682640075684, 0.06528687477111816, 0.06527400016784668, 0.06678915023803711, 0.0698249340057373, 0.06698203086853027, 0.06430411338806152, 0.06501507759094238, 0.06531000137329102, 0.06682276725769043, 0.06582808494567871, 0.0634911060333252, 0.06405496597290039, 0.06398797035217285, 0.06394100189208984, 0.06267690658569336, 0.06501197814941406, 0.06774687767028809, 0.07071900367736816, 0.06523609161376953, 0.06441402435302734, 0.06356477737426758, 0.06412577629089355, 0.06792593002319336, 0.06354594230651855, 0.06394791603088379, 0.0683441162109375, 0.061422109603881836, 0.06685805320739746, 0.06522107124328613, 0.06368589401245117, 0.06520700454711914, 0.06424808502197266, 0.06497788429260254, 0.0675349235534668, 0.06740999221801758, 0.06461524963378906, 0.06504011154174805, 0.06589698791503906, 0.0653982162475586, 0.06305932998657227, 0.06567883491516113, 0.06992411613464355, 0.06728696823120117, 0.08168816566467285, 0.06475377082824707, 0.06427597999572754, 0.06422781944274902, 0.0656900405883789, 0.07058525085449219, 0.06839704513549805, 0.0696249008178711, 0.06388568878173828, 0.06412816047668457, 0.06426095962524414, 0.06841802597045898, 0.06655383110046387, 0.06444907188415527, 0.06682872772216797, 0.06502127647399902, 0.06711316108703613, 0.07359099388122559, 0.0657191276550293, 0.06406784057617188, 0.06458616256713867, 0.0642540454864502, 0.06851077079772949, 0.0640711784362793, 0.06164193153381348, 0.06504225730895996, 0.06981396675109863, 0.06203818321228027, 0.06395697593688965, 0.0699319839477539, 0.06995511054992676, 0.06496524810791016, 0.06563901901245117, 0.06547188758850098, 0.06743311882019043, 0.06459617614746094, 0.06476593017578125, 0.0646660327911377, 0.06774616241455078, 0.06464004516601562, 0.06390786170959473, 0.0637369155883789, 0.06905388832092285, 0.06932401657104492, 0.06526374816894531, 0.06444287300109863, 0.0639650821685791, 0.06758570671081543, 0.06507110595703125, 0.06461215019226074, 0.06983089447021484, 0.06827998161315918, 0.0630958080291748, 0.06561017036437988, 0.0697331428527832, 0.06663322448730469, 0.06602597236633301, 0.06518411636352539, 0.06500482559204102, 0.06596088409423828, 0.06519603729248047, 0.06579303741455078, 0.06451702117919922, 0.06570196151733398, 0.07323312759399414, 0.06471920013427734, 0.06577420234680176, 0.06716609001159668, 0.06530904769897461, 0.07940387725830078, 0.06572175025939941, 0.06347274780273438, 0.06456708908081055, 0.06473994255065918, 0.06314706802368164, 0.06467103958129883, 0.06946396827697754, 0.06604695320129395, 0.06633806228637695, 0.06541275978088379, 0.0645761489868164, 0.06476187705993652, 0.06746768951416016, 0.0660390853881836, 0.07288479804992676, 0.06979990005493164, 0.06626105308532715, 0.06585812568664551, 0.06861591339111328, 0.07040095329284668, 0.06592392921447754, 0.06684398651123047, 0.06637096405029297, 0.06855106353759766, 0.07013988494873047, 0.06725811958312988, 0.06713175773620605, 0.06602692604064941, 0.06737208366394043, 0.06705284118652344, 0.06529521942138672, 0.08537602424621582, 0.06579709053039551, 0.06748127937316895, 0.07101607322692871, 0.06786680221557617, 0.06789994239807129, 0.07115602493286133, 0.07004213333129883, 0.06816697120666504, 0.07000184059143066, 0.06968307495117188, 0.06900835037231445, 0.06913900375366211, 0.0669870376586914, 0.06662607192993164, 0.06539511680603027, 0.06727910041809082, 0.07330608367919922, 0.06669998168945312, 0.06792497634887695, 0.06684017181396484, 0.07054376602172852, 0.06371784210205078, 0.07065773010253906, 0.06497383117675781, 0.06702518463134766, 0.06479096412658691, 0.06596899032592773, 0.06428694725036621, 0.06440401077270508, 0.06628131866455078, 0.0655050277709961, 0.06593775749206543, 0.06883811950683594, 0.06815624237060547, 0.06765007972717285, 0.0728609561920166, 0.06876587867736816, 0.06720995903015137, 0.06660985946655273, 0.06838202476501465, 0.06917095184326172, 0.06899476051330566, 0.06701302528381348, 0.06554412841796875]"
