Path_Number,Command_Timeout(s),Num_Iteration,Total_Path_Latency(s),Accuracy,Num_Unique_Msgs,Num_Timeouts,Command_Latency_Metrics
1,0.3,1,83.88471984863281,91.22457136403375,162,0,"[0.21285200119018555, 0.18788599967956543, 1.237210988998413, 0.323624849319458, 0.19663190841674805, 0.23657870292663574, 0.19014501571655273, 0.20319104194641113, 0.195512056350708, 0.18912625312805176, 0.813209056854248, 0.18646597862243652, 0.1920020580291748, 0.20771002769470215, 0.19415807723999023, 0.3113088607788086, 0.31779909133911133, 0.30666279792785645, 0.20351910591125488, 0.2516059875488281, 0.26044392585754395, 0.23822331428527832, 0.2977778911590576, 0.22065401077270508, 0.19995498657226562, 0.3500630855560303, 0.28366899490356445, 0.8219280242919922, 0.2027897834777832, 0.18610596656799316, 0.2798278331756592, 0.3856639862060547, 0.34490203857421875, 0.28092288970947266, 0.18688011169433594, 0.1967940330505371, 0.21242380142211914, 0.18547773361206055, 0.20398283004760742, 0.18959522247314453, 0.5604968070983887, 0.2315959930419922, 0.22378277778625488, 0.18770194053649902, 0.18639278411865234, 0.192641019821167, 0.19740533828735352, 0.21872520446777344, 0.35190367698669434, 0.24909615516662598, 0.19391179084777832, 0.18681907653808594, 0.21564602851867676, 0.1884629726409912, 0.19219088554382324, 0.18839621543884277, 0.1955699920654297, 0.39901185035705566, 0.24214386940002441, 0.20155096054077148, 0.19696712493896484, 0.18836712837219238, 0.18909478187561035, 0.22042608261108398, 0.18949508666992188, 0.3581082820892334, 0.19507718086242676, 0.19244790077209473, 0.21336698532104492, 0.18497300148010254, 0.18667888641357422, 0.256213903427124, 0.18799185752868652, 0.49910497665405273, 0.33013200759887695, 0.28045225143432617, 0.23872900009155273, 0.22853398323059082, 0.33347296714782715, 0.2654383182525635, 0.19303393363952637, 0.28282713890075684, 0.32715582847595215, 0.22694611549377441, 0.22379088401794434, 0.27976489067077637, 0.189162015914917, 0.24881911277770996, 0.2804133892059326, 0.2454087734222412, 0.43358469009399414, 0.18616008758544922, 0.18713974952697754, 0.19660329818725586, 0.20965981483459473, 0.22301530838012695, 0.18707704544067383, 1.2053582668304443, 0.27388906478881836, 0.256939172744751, 0.22881388664245605, 0.18736529350280762, 0.294633150100708, 0.3168179988861084, 0.26105213165283203, 0.32214903831481934, 0.23566889762878418, 0.28917598724365234, 0.32439708709716797, 0.2353990077972412, 0.20999908447265625, 0.3756139278411865, 0.27704381942749023, 0.2252511978149414, 0.19102001190185547, 0.23964500427246094, 0.2266538143157959, 0.18878722190856934, 0.19219112396240234, 0.2268810272216797, 0.3360249996185303, 0.3893871307373047, 0.2886488437652588, 0.21621990203857422, 0.27589893341064453, 0.2360239028930664, 0.2969319820404053, 0.18998503684997559, 0.2079620361328125, 0.20876288414001465, 0.2719249725341797, 0.26673388481140137, 0.19058609008789062, 0.19345998764038086, 0.18962478637695312, 0.5291850566864014, 0.2738981246948242, 0.21102523803710938, 0.2706108093261719, 0.1913158893585205, 0.26137709617614746, 0.2893643379211426, 0.45263004302978516, 0.19982290267944336, 0.27111029624938965, 0.26141786575317383, 0.2546389102935791, 0.21381902694702148, 0.24944114685058594, 0.8386349678039551, 0.3328402042388916, 0.25568103790283203, 0.2815968990325928, 0.19826412200927734, 0.1877889633178711, 0.22399377822875977, 0.34163713455200195, 0.5270648002624512, 0.18528294563293457, 0.24265503883361816]"
2,0.3,1,40.33658289909363,92.37570054003884,115,0,"[0.059008121490478516, 0.6539280414581299, 0.05967307090759277, 0.06012415885925293, 0.05804300308227539, 0.06748700141906738, 0.05782294273376465, 0.05509305000305176, 0.06130099296569824, 0.058706045150756836, 0.059732913970947266, 0.060797929763793945, 0.059591054916381836, 0.06693124771118164, 0.06343388557434082, 0.06578516960144043, 0.06489396095275879, 0.062068939208984375, 0.12612700462341309, 0.0623779296875, 0.05854678153991699, 0.06347227096557617, 0.06049513816833496, 0.06335902214050293, 0.06197094917297363, 0.06339097023010254, 0.07422113418579102, 0.07114195823669434, 0.06976914405822754, 0.060156822204589844, 0.062220096588134766, 0.060372352600097656, 0.05946612358093262, 0.06377100944519043, 0.060668230056762695, 0.05610179901123047, 0.06330394744873047, 0.059101104736328125, 0.0590519905090332, 0.0610349178314209, 0.05863189697265625, 0.12581610679626465, 0.10084080696105957, 0.05866289138793945, 0.0740208625793457, 0.05717802047729492, 0.06673908233642578, 0.05594968795776367, 0.06272411346435547, 0.06216597557067871, 0.06118297576904297, 0.060407161712646484, 0.5672092437744141, 0.0715780258178711, 0.05992770195007324, 0.06994414329528809, 0.07188820838928223, 0.07493185997009277, 0.06256699562072754, 0.06191706657409668, 0.059889793395996094, 0.06138181686401367, 0.6512317657470703, 0.062304019927978516, 0.0595393180847168, 0.060881853103637695, 0.06035900115966797, 0.058068275451660156, 0.06408810615539551, 0.061431884765625, 0.05981183052062988, 0.058218955993652344, 0.05840277671813965, 0.06307792663574219, 0.06116199493408203, 0.06413435935974121, 0.05802178382873535, 0.06054186820983887, 0.06359386444091797, 0.06364798545837402, 0.061712026596069336, 0.05877876281738281, 0.06634688377380371, 0.06646490097045898, 0.062239885330200195, 0.06424808502197266, 0.058550119400024414, 0.06371188163757324, 0.062013864517211914, 0.07335805892944336, 0.06510519981384277, 0.06617498397827148, 0.06191897392272949, 0.05874991416931152, 0.06512999534606934, 0.05858778953552246, 0.13172411918640137, 0.15688085556030273, 0.06048703193664551, 0.05975008010864258, 0.06282496452331543, 0.06478524208068848, 0.05887317657470703, 0.05945396423339844, 0.05713200569152832, 0.06458020210266113, 0.06099700927734375, 0.059713125228881836, 0.07274389266967773, 0.06028485298156738, 0.05823016166687012, 0.1598823070526123, 0.05876922607421875]"
3,0.3,1,66.92202711105347,75.1226438000047,200,0,"[0.06112170219421387, 0.07094097137451172, 0.06173586845397949, 0.060912132263183594, 0.06429600715637207, 0.06606078147888184, 0.07434582710266113, 0.07315683364868164, 0.07110881805419922, 0.07881426811218262, 0.14338302612304688, 0.06318998336791992, 0.08702301979064941, 0.06792116165161133, 0.06385993957519531, 0.06715989112854004, 0.07509112358093262, 0.07488393783569336, 0.07334589958190918, 0.06904911994934082, 0.06366300582885742, 0.07609820365905762, 0.07488584518432617, 0.5160350799560547, 0.06696581840515137, 0.059300899505615234, 0.06517481803894043, 0.0677180290222168, 0.06556820869445801, 0.06415295600891113, 0.067108154296875, 0.06300711631774902, 0.06176304817199707, 0.7092149257659912, 0.06580519676208496, 0.06155133247375488, 0.06969594955444336, 0.06155896186828613, 0.0633082389831543, 0.06559991836547852, 0.064666748046875, 0.06647491455078125, 0.06578993797302246, 0.0638730525970459, 0.0637061595916748, 0.06906962394714355, 0.06348490715026855, 0.0637969970703125, 0.06693410873413086, 0.0684199333190918, 0.06705093383789062, 0.06632232666015625, 0.06476497650146484, 0.05840110778808594, 0.10954117774963379, 0.060317039489746094, 0.06670212745666504, 0.06723618507385254, 0.06838822364807129, 0.06410861015319824, 0.06086111068725586, 0.06388592720031738, 0.07075929641723633, 0.06605076789855957, 0.06773829460144043, 0.0662221908569336, 0.06943726539611816, 0.06823897361755371, 0.06316232681274414, 0.06791806221008301, 0.06070995330810547, 0.06327295303344727, 0.06489419937133789, 0.06126737594604492, 0.05959773063659668, 0.0655221939086914, 0.0648658275604248, 0.06516909599304199, 0.16230106353759766, 0.23601412773132324, 0.0722050666809082, 0.16988706588745117, 0.05980539321899414, 0.1820690631866455, 0.06536602973937988, 0.06450104713439941, 0.17496895790100098, 0.06615090370178223, 0.06621384620666504, 0.05824899673461914, 0.06422877311706543, 0.061853885650634766, 0.06566309928894043, 0.06771039962768555, 0.06463408470153809, 0.06866717338562012, 0.062355995178222656, 0.06318998336791992, 0.058724164962768555, 0.05910825729370117, 0.06157398223876953, 0.05847001075744629, 0.0690619945526123, 0.06383585929870605, 0.061944007873535156, 0.0614621639251709, 0.06326508522033691, 0.06834530830383301, 0.06504392623901367, 0.06157112121582031, 0.06347417831420898, 0.06289291381835938, 0.06039309501647949, 0.06395959854125977, 0.06633400917053223, 0.06444382667541504, 0.06593108177185059, 0.07646012306213379, 0.06209397315979004, 0.06682300567626953, 0.06186985969543457, 0.06371212005615234, 0.06455016136169434, 0.07132792472839355, 0.06195998191833496, 0.06553912162780762, 0.06603503227233887, 0.06310200691223145, 0.06670069694519043, 0.0688471794128418, 0.06147480010986328, 0.06170821189880371, 0.06691789627075195, 0.0637960433959961, 0.06052112579345703, 0.059370994567871094, 0.0642099380493164, 0.06234884262084961, 0.06097602844238281, 0.059866905212402344, 0.06627511978149414, 0.06226801872253418, 0.06557703018188477, 0.06522297859191895, 0.06115221977233887, 0.0609591007232666, 0.0632028579711914, 0.06473016738891602, 0.05908012390136719, 0.06379008293151855, 0.07745885848999023, 0.06100106239318848, 0.06234097480773926, 0.07353997230529785, 0.06816601753234863, 0.063629150390625, 0.0607759952545166, 0.060424089431762695, 0.061441898345947266, 0.06105494499206543, 0.06433606147766113, 0.06049799919128418, 0.06625699996948242, 0.0661172866821289, 0.06482768058776855, 0.06082725524902344, 0.06008124351501465, 0.06334328651428223, 0.05980277061462402, 0.06335210800170898, 0.06240200996398926, 0.06251001358032227, 0.062129974365234375, 0.05960488319396973, 0.0626828670501709, 0.06334304809570312, 0.06177687644958496, 0.06888318061828613, 0.06348800659179688, 0.06315875053405762, 0.06772899627685547, 0.0665431022644043, 0.06657791137695312, 0.061444759368896484, 0.06661462783813477, 0.06256890296936035, 0.06891298294067383, 0.0624539852142334, 0.062142133712768555, 0.2111189365386963, 0.06313395500183105, 0.06576895713806152, 0.06584382057189941, 0.06696510314941406, 0.0717310905456543, 0.0634307861328125, 0.06624197959899902, 0.06674027442932129]"
