Path_Number,Command_Timeout(s),Num_Iteration,Total_Path_Latency(s),Accuracy,Num_Unique_Msgs,Num_Timeouts,Command_Latency_Metrics
1,0.3,1,77.24263095855713,94.75754132578884,606,0,"[0.09465909004211426, 0.06715774536132812, 0.06545400619506836, 0.06414580345153809, 0.06902813911437988, 0.07119321823120117, 0.06474900245666504, 0.06553387641906738, 0.06709599494934082, 0.06409692764282227, 0.06417584419250488, 0.0621027946472168, 0.06298184394836426, 0.06242704391479492, 0.06649088859558105, 0.06939125061035156, 0.06541180610656738, 0.06137895584106445, 0.06959915161132812, 0.06657791137695312, 0.06450605392456055, 0.06630277633666992, 0.06898617744445801, 0.070220947265625, 0.06607699394226074, 0.06786203384399414, 0.0670020580291748, 0.06751799583435059, 0.06934213638305664, 0.06659293174743652, 0.06571316719055176, 0.06791496276855469, 0.06718897819519043, 0.068389892578125, 0.06339573860168457, 0.06513619422912598, 0.0743710994720459, 0.06694889068603516, 0.06221818923950195, 0.06655502319335938, 0.06433296203613281, 0.06462383270263672, 0.06291508674621582, 0.0634920597076416, 0.06437206268310547, 0.06943988800048828, 0.06101107597351074, 0.060353994369506836, 0.059990882873535156, 0.060135841369628906, 0.0594940185546875, 0.060959815979003906, 0.059845924377441406, 0.06001091003417969, 0.06308317184448242, 0.06147408485412598, 0.06169414520263672, 0.061341047286987305, 0.06077694892883301, 0.06332802772521973, 0.06018710136413574, 0.06109738349914551, 0.06641006469726562, 0.06003904342651367, 0.06131315231323242, 0.060070037841796875, 0.06005501747131348, 0.05945181846618652, 0.06005215644836426, 0.060151100158691406, 0.0601649284362793, 0.06016707420349121, 0.05996990203857422, 0.060198307037353516, 0.06093120574951172, 0.06370997428894043, 0.06070971488952637, 0.06217789649963379, 0.06061530113220215, 0.06056499481201172, 0.06405401229858398, 0.06810307502746582, 0.06328892707824707, 0.0607450008392334, 0.06177997589111328, 0.07202935218811035, 0.06515002250671387, 0.06689620018005371, 0.06521296501159668, 0.06367707252502441, 0.0642399787902832, 0.06255483627319336, 0.06468582153320312, 0.07008099555969238, 0.0630960464477539, 0.06636786460876465, 0.06620502471923828, 0.06632399559020996, 0.06715798377990723, 0.06699514389038086, 0.06125283241271973, 0.06015896797180176, 0.06118893623352051, 0.06545114517211914, 0.06857991218566895, 0.06273889541625977, 0.06038379669189453, 0.06076216697692871, 0.06044602394104004, 0.06281685829162598, 0.060922861099243164, 0.06097984313964844, 0.06291794776916504, 0.060009002685546875, 0.06485104560852051, 0.07208490371704102, 0.06309986114501953, 0.061827898025512695, 0.06060600280761719, 0.06060004234313965, 0.061575889587402344, 0.06235909461975098, 0.06548476219177246, 0.06366395950317383, 0.061524152755737305, 0.06151986122131348, 0.06221508979797363, 0.06826591491699219, 0.06131911277770996, 0.06004619598388672, 0.06128382682800293, 0.0628809928894043, 0.06162619590759277, 0.06043195724487305, 0.0612490177154541, 0.06536412239074707, 0.06202983856201172, 0.060675859451293945, 0.06297922134399414, 0.0615081787109375, 0.06694340705871582, 0.06535673141479492, 0.06581306457519531, 0.06438612937927246, 0.06209206581115723, 0.06527996063232422, 0.06546783447265625, 0.06443095207214355, 0.07696390151977539, 0.06920289993286133, 0.0677490234375, 0.06439805030822754, 0.06104016304016113, 0.06255102157592773, 0.06900310516357422, 0.06870508193969727, 0.0601348876953125, 0.07248592376708984, 0.0603489875793457, 0.06010293960571289, 0.0633699893951416, 0.062470197677612305, 0.06223702430725098, 0.061495065689086914, 0.06209921836853027, 0.0600283145904541, 0.061286211013793945, 0.06366991996765137, 0.06335592269897461, 0.062018632888793945, 0.06403708457946777, 0.0626821517944336, 0.06392693519592285, 0.06322979927062988, 0.059925079345703125, 0.06081390380859375, 0.06341719627380371, 0.0607600212097168, 0.06055784225463867, 0.062129974365234375, 0.0622248649597168, 0.060678958892822266, 0.06084704399108887, 0.05936002731323242, 0.06252789497375488, 0.06006002426147461, 0.06046628952026367, 0.0637052059173584, 0.06979107856750488, 0.06001424789428711, 0.06064105033874512, 0.06383681297302246, 0.06013989448547363, 0.06058692932128906, 0.06206679344177246, 0.06585907936096191, 0.06064581871032715, 0.06039786338806152, 0.0620880126953125, 0.060801029205322266, 0.061712026596069336, 0.06097984313964844, 0.0741262435913086, 0.06719279289245605, 0.0664219856262207, 0.06804800033569336, 0.06338095664978027, 0.06379389762878418, 0.06556820869445801, 0.06932806968688965, 0.06338286399841309, 0.06321597099304199, 0.06512308120727539, 0.07431793212890625, 0.06450200080871582, 0.06541800498962402, 0.06488227844238281, 0.06261610984802246, 0.06682896614074707, 0.06284904479980469, 0.06352376937866211, 0.0650172233581543, 0.061640262603759766, 0.06214284896850586, 0.06477618217468262, 0.06116890907287598, 0.061299800872802734, 0.08262300491333008, 0.06053900718688965, 0.0628519058227539, 0.06547975540161133, 0.06401991844177246, 0.0650632381439209, 0.06318902969360352, 0.06446170806884766, 0.06149911880493164, 0.06050896644592285, 0.06268787384033203, 0.061120033264160156, 0.05990409851074219, 0.061033010482788086, 0.06178712844848633, 0.06043434143066406, 0.06376814842224121, 0.06003594398498535, 0.05942797660827637, 0.05975508689880371, 0.06044483184814453, 0.05949282646179199, 0.05978107452392578, 0.060357093811035156, 0.07147002220153809, 0.06173300743103027, 0.06051492691040039, 0.06068110466003418, 0.06054115295410156, 0.06050515174865723, 0.060765981674194336, 0.05970883369445801, 0.05882382392883301, 0.06151604652404785, 0.05962800979614258, 0.06078791618347168, 0.05940890312194824, 0.060205936431884766, 0.0613858699798584, 0.060791015625, 0.06252598762512207, 0.06770825386047363, 0.06122612953186035, 0.06065678596496582, 0.058728933334350586, 0.06100296974182129, 0.06040072441101074, 0.060645103454589844, 0.06149911880493164, 0.060682058334350586, 0.06034994125366211, 0.06356406211853027, 0.05940079689025879, 0.06243777275085449, 0.06341290473937988, 0.06985116004943848, 0.06888008117675781, 0.08947205543518066, 0.06357407569885254, 0.06353402137756348, 0.06479692459106445, 0.06212306022644043, 0.0650780200958252, 0.060933828353881836, 0.06198596954345703, 0.08531999588012695, 0.0760488510131836, 0.06673884391784668, 0.06327295303344727, 0.059082984924316406, 0.06126809120178223, 0.06206202507019043, 0.06337213516235352, 0.06330227851867676, 0.060439109802246094, 0.06221795082092285, 0.060925960540771484, 0.06164979934692383, 0.060571908950805664, 0.06144094467163086, 0.05966782569885254, 0.06026601791381836, 0.06515312194824219, 0.06060075759887695, 0.06438493728637695, 0.061044931411743164, 0.061167240142822266, 0.06453514099121094, 0.06453585624694824, 0.06143498420715332, 0.06350398063659668, 0.06419205665588379, 0.06347918510437012, 0.0644071102142334, 0.0610508918762207, 0.0603330135345459, 0.06476497650146484, 0.06264185905456543, 0.06388092041015625, 0.060024261474609375, 0.0609281063079834, 0.06326103210449219, 0.06067013740539551, 0.0601649284362793, 0.059739112854003906, 0.06567692756652832, 0.06629395484924316, 0.06305718421936035, 0.0635530948638916, 0.06500387191772461, 0.06860804557800293, 0.06277036666870117, 0.06711006164550781, 0.06498503684997559, 0.06505703926086426, 0.06409597396850586, 0.06524324417114258, 0.0666208267211914, 0.06237387657165527, 0.06310033798217773, 0.06963706016540527, 0.06476473808288574, 0.0651402473449707, 0.06686186790466309, 0.07316780090332031, 0.06465482711791992, 0.0630807876586914, 0.06061959266662598, 0.06117105484008789, 0.058686017990112305, 0.06037306785583496, 0.06260418891906738, 0.0611882209777832, 0.061057090759277344, 0.07650184631347656, 0.0606689453125, 0.06253910064697266, 0.061731815338134766, 0.06656718254089355, 0.06469511985778809, 0.0663449764251709, 0.06060314178466797, 0.06377816200256348, 0.06124615669250488, 0.061199188232421875, 0.06000375747680664, 0.06448698043823242, 0.05990791320800781, 0.060854196548461914, 0.06061196327209473, 0.05944395065307617, 0.06028485298156738, 0.06586384773254395, 0.0645148754119873, 0.06200695037841797, 0.06086325645446777, 0.06004619598388672, 0.06516385078430176, 0.0650029182434082, 0.06456875801086426, 0.06082773208618164, 0.06068611145019531, 0.0645298957824707, 0.05917692184448242, 0.05940699577331543, 0.058480024337768555, 0.060933828353881836, 0.06144285202026367, 0.06362295150756836, 0.060127973556518555, 0.06030631065368652, 0.06413006782531738, 0.0599367618560791, 0.060088157653808594, 0.05990481376647949, 0.0593409538269043, 0.05934786796569824, 0.06359291076660156, 0.0604248046875, 0.06130099296569824, 0.05993533134460449, 0.060745954513549805, 0.07591104507446289, 0.060361385345458984, 0.0611269474029541, 0.06158089637756348, 0.0591127872467041, 0.05970501899719238, 0.0624690055847168, 0.06027698516845703, 0.06035804748535156, 0.06102919578552246, 0.06392407417297363, 0.06550908088684082, 0.061189889907836914, 0.06070399284362793, 0.06252312660217285, 0.059870004653930664, 0.061192989349365234, 0.06148505210876465, 0.05971407890319824, 0.060762882232666016, 0.06328392028808594, 0.06498885154724121, 0.06320500373840332, 0.06207013130187988, 0.06016206741333008, 0.06261706352233887, 0.06282711029052734, 0.06380724906921387, 0.06112408638000488, 0.0661168098449707, 0.07357907295227051, 0.09971475601196289, 0.06237387657165527, 0.07249784469604492, 0.06602883338928223, 0.06869196891784668, 0.0670173168182373, 0.06335902214050293, 0.06936764717102051, 0.0637979507446289, 0.06208920478820801, 0.06151413917541504, 0.061078786849975586, 0.06354928016662598, 0.060341835021972656, 0.06241011619567871, 0.060460805892944336, 0.06054401397705078, 0.06398272514343262, 0.06051301956176758, 0.06158304214477539, 0.06348514556884766, 0.06105995178222656, 0.05993223190307617, 0.061881065368652344, 0.06250810623168945, 0.061058998107910156, 0.06253409385681152, 0.06362199783325195, 0.06121993064880371, 0.06030011177062988, 0.06078481674194336, 0.06015205383300781, 0.06019926071166992, 0.06145524978637695, 0.05954694747924805, 0.06080007553100586, 0.06371903419494629, 0.06061267852783203, 0.060495853424072266, 0.06676316261291504, 0.06526398658752441, 0.061775922775268555, 0.06025123596191406, 0.06060481071472168, 0.06006908416748047, 0.06192183494567871, 0.06444311141967773, 0.05992913246154785, 0.06212782859802246, 0.05843830108642578, 0.06334209442138672, 0.06230592727661133, 0.061399221420288086, 0.07692289352416992, 0.06145620346069336, 0.06293606758117676, 0.06719207763671875, 0.0600588321685791, 0.06614208221435547, 0.06069183349609375, 0.0675649642944336, 0.06331014633178711, 0.060543060302734375, 0.0626668930053711, 0.06404304504394531, 0.0647890567779541, 0.06731176376342773, 0.06089186668395996, 0.05975914001464844, 0.06677794456481934, 0.05990290641784668, 0.06307721138000488, 0.0655219554901123, 0.06058096885681152, 0.0618281364440918, 0.06160688400268555, 0.06079673767089844, 0.059576988220214844, 0.06058502197265625, 0.05988883972167969, 0.061350107192993164, 0.061695098876953125, 0.0603032112121582, 0.06469511985778809, 0.06035780906677246, 0.06117892265319824, 0.06195211410522461, 0.06253623962402344, 0.06149911880493164, 0.06045389175415039, 0.06223607063293457, 0.07802915573120117, 0.06015205383300781, 0.06412220001220703, 0.059206247329711914, 0.06545424461364746, 0.06317019462585449, 0.05633997917175293, 0.06428122520446777, 0.06365489959716797, 0.062436819076538086, 0.0603179931640625, 0.06155896186828613, 0.06052803993225098, 0.06279778480529785, 0.059899091720581055, 0.060630083084106445, 0.06206202507019043, 0.06087994575500488, 0.060771942138671875, 0.0609889030456543, 0.060004234313964844, 0.0657660961151123, 0.0709538459777832, 0.05978679656982422, 0.06174898147583008, 0.06849789619445801, 0.06476378440856934, 0.06629681587219238, 0.06455016136169434, 0.06423091888427734, 0.06350994110107422, 0.08182907104492188, 0.06182289123535156, 0.06710076332092285, 0.06851696968078613, 0.06036496162414551, 0.06028389930725098, 0.06518316268920898, 0.06028103828430176, 0.06097006797790527, 0.07700705528259277, 0.06061911582946777, 0.06433391571044922, 0.06932401657104492, 0.06438302993774414, 0.06226706504821777, 0.06285691261291504, 0.06330418586730957, 0.06354093551635742, 0.07480311393737793, 0.06631302833557129, 0.06319808959960938, 0.06315207481384277, 0.06281113624572754, 0.06340932846069336, 0.07387089729309082, 0.0686330795288086, 0.06341814994812012, 0.06237173080444336, 0.06562495231628418, 0.06482100486755371, 0.08076596260070801, 0.06410074234008789, 0.06143999099731445, 0.060993194580078125, 0.06015515327453613, 0.06038808822631836, 0.06040310859680176, 0.06052207946777344, 0.061776161193847656, 0.0656900405883789, 0.06291484832763672, 0.06780171394348145]"
2,0.3,1,34.57992601394653,95.25674242423047,271,0,"[0.06922698020935059, 0.06502485275268555, 0.07849311828613281, 0.0715188980102539, 0.07022309303283691, 0.06371688842773438, 0.06626391410827637, 0.06596088409423828, 0.06297111511230469, 0.06262660026550293, 0.06003594398498535, 0.07041382789611816, 0.061103105545043945, 0.06341004371643066, 0.05991005897521973, 0.06341290473937988, 0.07089614868164062, 0.06078195571899414, 0.06072711944580078, 0.06157064437866211, 0.06905293464660645, 0.06694698333740234, 0.06466507911682129, 0.07032012939453125, 0.0607609748840332, 0.06099987030029297, 0.06407976150512695, 0.06399106979370117, 0.06475615501403809, 0.07572507858276367, 0.06048583984375, 0.06447291374206543, 0.06129312515258789, 0.060212135314941406, 0.061456918716430664, 0.07666492462158203, 0.0648488998413086, 0.06223011016845703, 0.06238842010498047, 0.06241583824157715, 0.06521320343017578, 0.061305999755859375, 0.0628507137298584, 0.07650089263916016, 0.06177210807800293, 0.06545209884643555, 0.06598496437072754, 0.061325788497924805, 0.06148719787597656, 0.060585975646972656, 0.06333017349243164, 0.06736421585083008, 0.0635991096496582, 0.06183600425720215, 0.07092595100402832, 0.05989503860473633, 0.06784367561340332, 0.06648921966552734, 0.061060190200805664, 0.06055116653442383, 0.06395220756530762, 0.06592988967895508, 0.061068058013916016, 0.06937289237976074, 0.0632171630859375, 0.06083393096923828, 0.0602419376373291, 0.06015729904174805, 0.06069207191467285, 0.06133699417114258, 0.060003042221069336, 0.061058998107910156, 0.06418323516845703, 0.09284830093383789, 0.06158280372619629, 0.06226205825805664, 0.06831693649291992, 0.06354188919067383, 0.06466197967529297, 0.06490874290466309, 0.06236433982849121, 0.06333398818969727, 0.06176900863647461, 0.061125993728637695, 0.0621340274810791, 0.06926488876342773, 0.06494688987731934, 0.06786489486694336, 0.06020379066467285, 0.06331181526184082, 0.0647420883178711, 0.06397700309753418, 0.061113834381103516, 0.059697866439819336, 0.06083512306213379, 0.06311297416687012, 0.06106400489807129, 0.06419992446899414, 0.06219601631164551, 0.0630180835723877, 0.06392216682434082, 0.06096076965332031, 0.06721615791320801, 0.06675887107849121, 0.06089496612548828, 0.0642240047454834, 0.06490898132324219, 0.06481814384460449, 0.0637969970703125, 0.059578895568847656, 0.06667327880859375, 0.06868386268615723, 0.06249499320983887, 0.0641489028930664, 0.06369161605834961, 0.059947967529296875, 0.06085515022277832, 0.06432199478149414, 0.06066584587097168, 0.06013321876525879, 0.06359195709228516, 0.062335968017578125, 0.06615591049194336, 0.06896400451660156, 0.06567096710205078, 0.06563401222229004, 0.0688471794128418, 0.07895398139953613, 0.06406307220458984, 0.06258988380432129, 0.06135296821594238, 0.06741976737976074, 0.06071925163269043, 0.06170010566711426, 0.06221723556518555, 0.06150197982788086, 0.0647878646850586, 0.06543707847595215, 0.06056928634643555, 0.06090116500854492, 0.061057090759277344, 0.06099390983581543, 0.06110405921936035, 0.0606229305267334, 0.06096196174621582, 0.06168985366821289, 0.0633840560913086, 0.060830116271972656, 0.06266188621520996, 0.0602869987487793, 0.06962895393371582, 0.0631570816040039, 0.06000709533691406, 0.061411142349243164, 0.06057119369506836, 0.06686615943908691, 0.06632709503173828, 0.06281900405883789, 0.06737804412841797, 0.06866097450256348, 0.06219601631164551, 0.06013607978820801, 0.0622098445892334, 0.06122016906738281, 0.06179237365722656, 0.06303596496582031, 0.06320595741271973, 0.06031179428100586, 0.05971717834472656, 0.06732678413391113, 0.061933040618896484, 0.060224056243896484, 0.06220507621765137, 0.05930495262145996, 0.06541204452514648, 0.0623781681060791, 0.06267476081848145, 0.06250500679016113, 0.06179022789001465, 0.06005215644836426, 0.062375783920288086, 0.06367301940917969, 0.06354904174804688, 0.060890913009643555, 0.06051182746887207, 0.0642549991607666, 0.06224989891052246, 0.06256294250488281, 0.06005501747131348, 0.06059694290161133, 0.06269097328186035, 0.060884952545166016, 0.05897212028503418, 0.06414294242858887, 0.0603489875793457, 0.06227612495422363, 0.06145787239074707, 0.06146597862243652, 0.061263084411621094, 0.06247091293334961, 0.06121325492858887, 0.05983710289001465, 0.06488800048828125, 0.05945396423339844, 0.06812381744384766, 0.0605471134185791, 0.06290030479431152, 0.059545040130615234, 0.060486793518066406, 0.06034517288208008, 0.06102705001831055, 0.06043100357055664, 0.06047391891479492, 0.061766862869262695, 0.0664219856262207, 0.06014895439147949, 0.06012392044067383, 0.06407570838928223, 0.060964107513427734, 0.05960869789123535, 0.06291317939758301, 0.060575008392333984, 0.06016683578491211, 0.06181001663208008, 0.059882164001464844, 0.061601877212524414, 0.06194567680358887, 0.06186413764953613, 0.06569290161132812, 0.06343603134155273, 0.06096220016479492, 0.06050920486450195, 0.060259103775024414, 0.05935788154602051, 0.061701297760009766, 0.06158590316772461, 0.06137895584106445, 0.0607759952545166, 0.06173515319824219, 0.06005597114562988, 0.06253194808959961, 0.06048011779785156, 0.06238412857055664, 0.06401586532592773, 0.06192207336425781, 0.06059622764587402, 0.059433937072753906, 0.06245994567871094, 0.06085801124572754, 0.06120800971984863, 0.06084561347961426, 0.0625619888305664, 0.06725382804870605, 0.06244707107543945, 0.06252694129943848, 0.06765007972717285, 0.0695040225982666, 0.06215214729309082, 0.06105399131774902, 0.06537294387817383, 0.07124710083007812, 0.062247276306152344, 0.06178116798400879, 0.0604252815246582, 0.06635189056396484, 0.06770896911621094, 0.06422924995422363, 0.07543492317199707, 0.06464099884033203]"
3,0.3,1,58.20110106468201,87.7525286941197,434,0,"[0.06679415702819824, 0.0651540756225586, 0.06626391410827637, 0.10534191131591797, 0.06549406051635742, 0.06652212142944336, 0.07903885841369629, 0.06653881072998047, 0.06357812881469727, 0.07467079162597656, 0.06516194343566895, 0.06573486328125, 0.06582999229431152, 0.06389999389648438, 0.06524801254272461, 0.06685376167297363, 0.062391042709350586, 0.06612372398376465, 0.06854009628295898, 0.06576299667358398, 0.06241488456726074, 0.06934404373168945, 0.06762814521789551, 0.06597089767456055, 0.06367826461791992, 0.06572580337524414, 0.06754517555236816, 0.06642270088195801, 0.06966567039489746, 0.06390190124511719, 0.06505179405212402, 0.06485867500305176, 0.06518793106079102, 0.0703878402709961, 0.06804990768432617, 0.06487107276916504, 0.06759285926818848, 0.06933116912841797, 0.06621170043945312, 0.06670594215393066, 0.06729793548583984, 0.0702981948852539, 0.06437301635742188, 0.06885814666748047, 0.06880903244018555, 0.0661618709564209, 0.06719827651977539, 0.06944513320922852, 0.06580781936645508, 0.06642985343933105, 0.06704902648925781, 0.06400203704833984, 0.06399798393249512, 0.06261587142944336, 0.06167197227478027, 0.06336522102355957, 0.06354308128356934, 0.06739091873168945, 0.06491208076477051, 0.0642099380493164, 0.06437516212463379, 0.06540393829345703, 0.0656270980834961, 0.0671989917755127, 0.06788110733032227, 0.07299685478210449, 0.06805872917175293, 0.06984114646911621, 0.07056093215942383, 0.06528997421264648, 0.06678605079650879, 0.06685900688171387, 0.07919883728027344, 0.06625986099243164, 0.0720369815826416, 0.07119584083557129, 0.06417679786682129, 0.06572914123535156, 0.06722521781921387, 0.09647059440612793, 0.08783674240112305, 0.06383490562438965, 0.07064390182495117, 0.0672750473022461, 0.06310606002807617, 0.06324911117553711, 0.06402921676635742, 0.06611466407775879, 0.10762906074523926, 0.06497406959533691, 0.06456971168518066, 0.06915831565856934, 0.06727194786071777, 0.066497802734375, 0.09303498268127441, 0.07406020164489746, 0.06835818290710449, 0.06800532341003418, 0.0734260082244873, 0.0641179084777832, 0.06454992294311523, 0.06621408462524414, 0.06524801254272461, 0.0686180591583252, 0.06952905654907227, 0.06564092636108398, 0.06946992874145508, 0.06675577163696289, 0.0660099983215332, 0.06521201133728027, 0.06423187255859375, 0.06389975547790527, 0.06276202201843262, 0.06336522102355957, 0.06890225410461426, 0.06836676597595215, 0.06551885604858398, 0.0652017593383789, 0.06433510780334473, 0.06286787986755371, 0.06661725044250488, 0.06404685974121094, 0.06360125541687012, 0.06942510604858398, 0.06699514389038086, 0.06317996978759766, 0.0634310245513916, 0.06373882293701172, 0.07066583633422852, 0.06450271606445312, 0.06380391120910645, 0.06317996978759766, 0.06352782249450684, 0.06759285926818848, 0.06352114677429199, 0.061836957931518555, 0.0658879280090332, 0.06739401817321777, 0.06537413597106934, 0.06436705589294434, 0.06689000129699707, 0.0629878044128418, 0.06512999534606934, 0.063751220703125, 0.06686019897460938, 0.06814122200012207, 0.06765222549438477, 0.06661415100097656, 0.06271004676818848, 0.06606006622314453, 0.06610465049743652, 0.06517601013183594, 0.06729602813720703, 0.06995987892150879, 0.0694727897644043, 0.0661003589630127, 0.0690312385559082, 0.06322407722473145, 0.06451106071472168, 0.06481695175170898, 0.06161999702453613, 0.06237387657165527, 0.06554484367370605, 0.06625699996948242, 0.06441998481750488, 0.06315398216247559, 0.06425070762634277, 0.06226205825805664, 0.06867384910583496, 0.06508898735046387, 0.06754088401794434, 0.06649589538574219, 0.06749224662780762, 0.06153607368469238, 0.06481409072875977, 0.06689000129699707, 0.06782388687133789, 0.06661295890808105, 0.0662531852722168, 0.0735783576965332, 0.06676077842712402, 0.06618595123291016, 0.06841707229614258, 0.06612086296081543, 0.06732988357543945, 0.06422185897827148, 0.06364607810974121, 0.06491589546203613, 0.0649111270904541, 0.06546974182128906, 0.0652010440826416, 0.06377792358398438, 0.06654691696166992, 0.06526923179626465, 0.06586790084838867, 0.06696915626525879, 0.06937193870544434, 0.06723213195800781, 0.07552194595336914, 0.06637883186340332, 0.06559324264526367, 0.06486821174621582, 0.06395292282104492, 0.0659792423248291, 0.06277728080749512, 0.06542706489562988, 0.06341075897216797, 0.06545901298522949, 0.06625795364379883, 0.06364107131958008, 0.06275296211242676, 0.06316518783569336, 0.06647014617919922, 0.06692767143249512, 0.06721305847167969, 0.06258082389831543, 0.06479430198669434, 0.06819796562194824, 0.06949901580810547, 0.06735086441040039, 0.06346416473388672, 0.08350706100463867, 0.06575989723205566, 0.06872010231018066, 0.06629014015197754, 0.06541705131530762, 0.0693199634552002, 0.06867408752441406, 0.06687092781066895, 0.06906700134277344, 0.06557273864746094, 0.06739497184753418, 0.06607794761657715, 0.0690908432006836, 0.06777405738830566, 0.06555390357971191, 0.06378889083862305, 0.0643472671508789, 0.06313538551330566, 0.06412816047668457, 0.06743311882019043, 0.0671849250793457, 0.06486296653747559, 0.06573009490966797, 0.06681180000305176, 0.06715083122253418, 0.0662851333618164, 0.0661919116973877, 0.0641181468963623, 0.06409597396850586, 0.07181596755981445, 0.06671380996704102, 0.06399297714233398, 0.06619691848754883, 0.06711602210998535, 0.0654451847076416, 0.07142400741577148, 0.06462788581848145, 0.0636911392211914, 0.06497311592102051, 0.062036991119384766, 0.06566596031188965, 0.06498098373413086, 0.06353998184204102, 0.06859087944030762, 0.06566500663757324, 0.06425213813781738, 0.06790328025817871, 0.06308126449584961, 0.06374597549438477, 0.06630897521972656, 0.06400895118713379, 0.06493592262268066, 0.062375783920288086, 0.06752991676330566, 0.0659182071685791, 0.06695199012756348, 0.0692448616027832, 0.06698989868164062, 0.06508898735046387, 0.06273984909057617, 0.06501603126525879, 0.06650018692016602, 0.06450200080871582, 0.06537294387817383, 0.06833219528198242, 0.06879830360412598, 0.06216001510620117, 0.06448888778686523, 0.06305313110351562, 0.0688331127166748, 0.06415629386901855, 0.06278777122497559, 0.06337094306945801, 0.06650209426879883, 0.0630638599395752, 0.06815624237060547, 0.07011103630065918, 0.08089399337768555, 0.06581592559814453, 0.06695866584777832, 0.07033419609069824, 0.06765294075012207, 0.06785321235656738, 0.06135296821594238, 0.06807398796081543, 0.0691976547241211, 0.06613993644714355, 0.0677950382232666, 0.06417107582092285, 0.06229996681213379, 0.08245396614074707, 0.06316900253295898, 0.0635378360748291, 0.06326413154602051, 0.07034420967102051, 0.06506180763244629, 0.06193804740905762, 0.0628972053527832, 0.0650167465209961, 0.06330204010009766, 0.06476783752441406, 0.06461882591247559, 0.0698239803314209, 0.06361603736877441, 0.06909799575805664, 0.06680989265441895, 0.06704187393188477, 0.06442999839782715, 0.06208634376525879, 0.06476593017578125, 0.06726884841918945, 0.06704401969909668, 0.06593108177185059, 0.05993914604187012, 0.0636758804321289, 0.07316088676452637, 0.06376910209655762, 0.06595516204833984, 0.06512689590454102, 0.06530189514160156, 0.06824398040771484, 0.06689214706420898, 0.06376504898071289, 0.0662069320678711, 0.06361174583435059, 0.06518340110778809, 0.06455779075622559, 0.06283879280090332, 0.06759381294250488, 0.06514692306518555, 0.06383275985717773, 0.06279897689819336, 0.0665121078491211, 0.06252884864807129, 0.06306719779968262, 0.06460309028625488, 0.06800389289855957, 0.06333804130554199, 0.06466412544250488, 0.06300806999206543, 0.06413125991821289, 0.06322598457336426, 0.0641319751739502, 0.0662071704864502, 0.06348085403442383, 0.06369614601135254, 0.062460899353027344, 0.07491803169250488, 0.06467604637145996, 0.06186103820800781, 0.06352424621582031, 0.07601308822631836, 0.06335783004760742, 0.06452417373657227, 0.06255698204040527, 0.06528306007385254, 0.06349301338195801, 0.06311511993408203, 0.0631868839263916, 0.06327295303344727, 0.0635840892791748, 0.06465888023376465, 0.06256389617919922, 0.0656440258026123, 0.06343388557434082, 0.06164813041687012, 0.0631098747253418, 0.06365704536437988, 0.06545782089233398, 0.06331396102905273, 0.06201601028442383, 0.06327438354492188, 0.06222414970397949, 0.06147599220275879, 0.06704497337341309, 0.06282615661621094, 0.06736278533935547, 0.06130790710449219, 0.06902599334716797, 0.06338381767272949, 0.06296491622924805, 0.0725240707397461, 0.06435990333557129, 0.06239795684814453, 0.06315088272094727, 0.06278729438781738, 0.06306004524230957, 0.06324887275695801, 0.06447601318359375, 0.06378602981567383, 0.06294703483581543, 0.06154799461364746, 0.06442475318908691, 0.06316018104553223, 0.0678091049194336, 0.06242990493774414, 0.062088966369628906, 0.06493616104125977, 0.06282424926757812, 0.0632789134979248, 0.06272506713867188, 0.06422901153564453, 0.06367683410644531, 0.06751894950866699, 0.06278610229492188, 0.06591105461120605, 0.06704998016357422, 0.06362700462341309, 0.06319284439086914, 0.06266283988952637, 0.06898307800292969]"
