Path_Number,Command_Timeout(s),Num_Iteration,Total_Path_Latency(s),Accuracy,Num_Unique_Msgs,Num_Timeouts,Command_Latency_Metrics
1,0.3,1,84.61583304405212,91.30340546256407,156,0,"[0.19507503509521484, 0.19004321098327637, 0.21123695373535156, 0.19414973258972168, 1.0044031143188477, 0.2711188793182373, 0.4929978847503662, 0.4040071964263916, 0.3698267936706543, 0.5844547748565674, 0.19996023178100586, 0.18793010711669922, 0.19031023979187012, 0.2196662425994873, 0.1899569034576416, 0.1875929832458496, 0.1964406967163086, 0.4768717288970947, 0.36623215675354004, 0.21417617797851562, 0.18813490867614746, 0.1947641372680664, 0.1972510814666748, 0.2201371192932129, 0.2830781936645508, 0.2471470832824707, 0.28723907470703125, 0.25402116775512695, 0.2220299243927002, 0.18672895431518555, 0.1879720687866211, 0.3126640319824219, 0.26844215393066406, 0.18780899047851562, 0.20969128608703613, 0.183851957321167, 0.19885897636413574, 0.1854536533355713, 0.18696284294128418, 0.2144451141357422, 0.19034790992736816, 0.18859601020812988, 0.18814802169799805, 0.18535232543945312, 0.22220206260681152, 0.19069719314575195, 0.1961510181427002, 0.18628382682800293, 0.18623876571655273, 0.20967721939086914, 0.5154180526733398, 0.4871859550476074, 0.24472618103027344, 0.18402099609375, 0.18541312217712402, 0.2115159034729004, 0.18555521965026855, 0.20106291770935059, 0.18291592597961426, 0.1971127986907959, 0.21062397956848145, 0.19197392463684082, 0.18816900253295898, 0.1907341480255127, 0.18720102310180664, 0.5145790576934814, 0.23158812522888184, 0.2016148567199707, 0.18383002281188965, 0.19042015075683594, 0.21052193641662598, 0.19814801216125488, 0.19187188148498535, 0.7477118968963623, 0.18549036979675293, 0.22164702415466309, 0.2552459239959717, 0.29905200004577637, 0.18812894821166992, 0.7318158149719238, 0.19138002395629883, 0.21151185035705566, 0.18722891807556152, 0.20433592796325684, 0.19562292098999023, 0.20637226104736328, 0.48378920555114746, 0.1842963695526123, 0.26407408714294434, 0.1917128562927246, 0.18913602828979492, 0.22895073890686035, 0.23993206024169922, 0.4557178020477295, 0.2559850215911865, 0.19031190872192383, 0.188798189163208, 0.21469497680664062, 0.1848299503326416, 0.19024419784545898, 0.9912269115447998, 0.1872270107269287, 0.249434232711792, 0.1864628791809082, 0.35607409477233887, 0.18447208404541016, 0.1849379539489746, 0.2419278621673584, 0.39235877990722656, 0.18709206581115723, 0.19471001625061035, 0.19187211990356445, 0.23689770698547363, 0.18683218955993652, 0.25605201721191406, 0.5268490314483643, 0.19016003608703613, 0.19252681732177734, 0.20649099349975586, 0.18713808059692383, 0.18921923637390137, 0.18685579299926758, 0.6166338920593262, 0.21174120903015137, 0.18598008155822754, 0.18611884117126465, 0.1858210563659668, 0.18680405616760254, 0.21120691299438477, 0.4363691806793213, 0.18502092361450195, 0.18711614608764648, 0.18536615371704102, 0.21511006355285645, 0.25682616233825684, 0.18799686431884766, 1.0753698348999023, 0.18564701080322266, 0.18744587898254395, 0.20734572410583496, 0.20470690727233887, 0.19741010665893555, 0.18554019927978516, 0.18768692016601562, 1.0178301334381104, 0.1853339672088623, 0.21090412139892578, 0.19319891929626465, 0.21530604362487793, 0.21176815032958984, 1.200908899307251, 0.19875192642211914, 0.22466611862182617, 0.1971750259399414]"
2,0.3,1,42.74105715751648,86.7021570688528,101,0,"[0.07645297050476074, 0.06008195877075195, 0.059950828552246094, 0.05884075164794922, 0.05676102638244629, 0.0579681396484375, 0.05677604675292969, 0.44649696350097656, 0.06154489517211914, 0.060324907302856445, 0.05877995491027832, 0.05852007865905762, 0.059098005294799805, 0.06282877922058105, 0.05759310722351074, 0.05792593955993652, 0.18934011459350586, 0.06568598747253418, 0.06028413772583008, 0.058732032775878906, 0.056179046630859375, 0.4416921138763428, 0.06124424934387207, 0.6676030158996582, 0.05701136589050293, 0.06332802772521973, 0.06498003005981445, 0.07219886779785156, 0.06016421318054199, 0.06814289093017578, 0.06681227684020996, 0.0585479736328125, 0.06093287467956543, 0.06196093559265137, 0.0638740062713623, 0.062290191650390625, 0.26705098152160645, 0.06658101081848145, 0.056845903396606445, 0.06375789642333984, 0.05931591987609863, 0.05957198143005371, 0.06126999855041504, 0.05860590934753418, 0.05928397178649902, 0.06302070617675781, 0.05965423583984375, 0.061591148376464844, 0.060491085052490234, 0.06605005264282227, 0.05910205841064453, 0.0616450309753418, 0.06391787528991699, 0.06558680534362793, 0.0627439022064209, 0.06280398368835449, 0.0601809024810791, 0.059719085693359375, 0.061781883239746094, 0.06467795372009277, 0.06096816062927246, 0.062355995178222656, 0.061438798904418945, 0.05810403823852539, 0.17255401611328125, 0.05828094482421875, 0.060402870178222656, 0.0600128173828125, 0.06235694885253906, 0.05971193313598633, 0.06160306930541992, 0.06167721748352051, 0.06434297561645508, 0.10329914093017578, 0.06573796272277832, 0.06003212928771973, 0.06319904327392578, 0.06255006790161133, 0.06527376174926758, 0.06267380714416504, 0.057984113693237305, 0.058646202087402344, 0.05913710594177246, 0.06662702560424805, 0.05536007881164551, 0.06082892417907715, 0.06590700149536133, 0.06052207946777344, 0.06078004837036133, 0.06494402885437012, 0.06235194206237793, 0.4387698173522949, 0.06554698944091797, 0.058792829513549805, 0.05979323387145996, 0.06681585311889648, 0.06605887413024902, 0.0621337890625, 0.060399770736694336]"
3,0.3,1,72.79657101631165,67.85101568294111,179,0,"[0.06367325782775879, 0.06768989562988281, 0.06181502342224121, 0.06436395645141602, 0.06261897087097168, 0.06202888488769531, 0.06029796600341797, 0.24483776092529297, 0.06667971611022949, 0.06504511833190918, 0.0653998851776123, 0.06408286094665527, 0.06882667541503906, 0.06812787055969238, 0.06575417518615723, 0.39771389961242676, 0.07196903228759766, 0.06856513023376465, 0.0632181167602539, 0.06736278533935547, 0.0686800479888916, 0.06283402442932129, 0.06452608108520508, 0.059369802474975586, 0.17479419708251953, 0.06548523902893066, 0.06671690940856934, 0.06627106666564941, 0.0659782886505127, 0.0669858455657959, 0.06484508514404297, 0.06432986259460449, 0.12997198104858398, 0.07538390159606934, 0.06444811820983887, 0.06277871131896973, 0.06863117218017578, 0.060530900955200195, 0.06730318069458008, 0.06694412231445312, 0.06374502182006836, 0.06470704078674316, 0.06672835350036621, 0.06390190124511719, 0.06688499450683594, 0.06958889961242676, 0.31372499465942383, 0.06141209602355957, 0.06591105461120605, 0.06575512886047363, 0.0650780200958252, 0.060884952545166016, 0.06126689910888672, 0.06755805015563965, 0.062355995178222656, 0.10324406623840332, 0.06915903091430664, 0.06328105926513672, 0.061125993728637695, 0.06337094306945801, 0.06527900695800781, 0.06105995178222656, 0.061105966567993164, 0.06293201446533203, 0.06026816368103027, 0.06230473518371582, 0.06236696243286133, 0.0626990795135498, 0.061530113220214844, 0.0661308765411377, 0.06711792945861816, 0.058795928955078125, 0.06164216995239258, 0.40424227714538574, 0.06305575370788574, 0.06639385223388672, 0.06356596946716309, 0.06312108039855957, 0.07692170143127441, 0.06289005279541016, 0.06432104110717773, 0.06929731369018555, 0.0646672248840332, 0.06013202667236328, 0.06292009353637695, 0.06566286087036133, 0.0637969970703125, 0.06379413604736328, 0.0657501220703125, 0.06471395492553711, 0.0625767707824707, 0.060751914978027344, 0.062005043029785156, 0.0640411376953125, 0.06328296661376953, 0.06397891044616699, 0.0632472038269043, 0.061109066009521484, 0.06200098991394043, 0.2764160633087158, 0.06325101852416992, 0.14905595779418945, 0.06543588638305664, 0.06009387969970703, 0.0616610050201416, 0.06162714958190918, 0.06313204765319824, 0.06182503700256348, 0.06642413139343262, 0.06489229202270508, 0.0642547607421875, 0.06196713447570801, 0.06517601013183594, 0.06148886680603027, 0.06230616569519043, 0.06444478034973145, 0.066436767578125, 0.06323695182800293, 0.06657814979553223, 0.06090116500854492, 0.06650805473327637, 0.06095290184020996, 0.06306290626525879, 0.06363701820373535, 0.06554388999938965, 0.06307578086853027, 0.06672167778015137, 0.12427496910095215, 0.06155085563659668, 0.10866618156433105, 0.06060504913330078, 0.06108903884887695, 0.0829617977142334, 0.07107114791870117, 0.07134318351745605, 0.06520414352416992, 0.05810976028442383, 0.0662992000579834, 0.07126498222351074, 0.06449103355407715, 0.06470990180969238, 0.0641789436340332, 0.05894923210144043, 0.06301307678222656, 0.06335115432739258, 0.06383109092712402, 0.06243085861206055, 0.06653523445129395, 0.06726598739624023, 0.06314492225646973, 0.0611116886138916, 0.06913018226623535, 0.07756614685058594, 0.06858205795288086, 0.0718681812286377, 0.06920170783996582, 0.2696681022644043, 0.06759119033813477, 0.06284904479980469, 0.06175732612609863, 0.060151100158691406, 0.06226396560668945, 0.0632181167602539, 0.0636129379272461, 0.06366324424743652, 0.06291890144348145, 0.06629610061645508, 0.06622481346130371, 0.06252908706665039, 0.0618741512298584, 0.06564712524414062, 0.07869720458984375, 0.06447577476501465, 0.8176031112670898, 0.05947279930114746, 0.06355929374694824, 0.05843710899353027]"
