Path_Number,Num_Iteration,Total_Path_Latency(s),Accuracy,Num_Unique_Msgs,Command_Latency_Metrics
1,2,58.999226331710815,89.71875,321,"[0.17032766342163086, 0.1787104606628418, 0.22183942794799805, 0.15039992332458496, 0.16309213638305664, 0.18714642524719238, 0.18485713005065918, 0.17104315757751465, 0.20275545120239258, 0.173980712890625, 0.18539762496948242, 0.18078899383544922, 0.18584036827087402, 0.2058391571044922, 0.1692667007446289, 0.18977713584899902, 0.20258808135986328, 0.16876482963562012, 0.1771259307861328, 0.13180160522460938, 0.12925481796264648, 0.13229703903198242, 0.13820624351501465, 0.13437771797180176, 0.1978452205657959, 0.16757512092590332, 0.15540003776550293, 0.16541576385498047, 0.16879487037658691, 0.20678019523620605, 0.13335323333740234, 0.1355752944946289, 0.13867402076721191, 0.15942835807800293, 0.19153332710266113, 0.1670827865600586, 0.14597606658935547, 0.14780259132385254, 0.14119672775268555, 0.184067964553833, 0.1846485137939453, 0.1472456455230713, 0.1550765037536621, 0.13858866691589355, 0.19309544563293457, 0.18105792999267578, 0.15494084358215332, 0.1750807762145996, 0.1525275707244873, 0.1431598663330078, 0.19440317153930664, 0.14302492141723633, 0.14508819580078125, 0.19354844093322754, 0.19067883491516113, 0.24239158630371094, 0.15433549880981445, 0.15206480026245117, 0.15032720565795898, 0.19023537635803223, 0.23375344276428223, 0.1957838535308838, 0.18390893936157227, 0.18567991256713867, 0.18345117568969727, 0.15207242965698242, 0.18105697631835938, 0.1471102237701416, 0.14989423751831055, 0.15256571769714355, 0.1507117748260498, 0.20215725898742676, 0.13794970512390137, 0.14975261688232422, 0.15438008308410645, 0.15173745155334473, 0.1870408058166504, 0.1474599838256836, 0.16106605529785156, 0.15547537803649902, 0.14954161643981934, 0.14864253997802734, 0.18240761756896973, 0.15467190742492676, 0.18195700645446777, 0.18694138526916504, 0.14890074729919434, 0.17860960960388184, 0.15233302116394043, 0.14974522590637207, 0.14999961853027344, 0.1824643611907959, 0.18266654014587402, 0.1635446548461914, 0.15426397323608398, 0.1717815399169922, 0.17719244956970215, 0.2333521842956543, 0.15850448608398438, 0.1501326560974121, 0.15480923652648926, 0.1695539951324463, 0.1553361415863037, 0.19014286994934082, 0.15085554122924805, 0.1553950309753418, 0.17426180839538574, 0.1589672565460205, 0.185591459274292, 0.17708539962768555, 0.19147086143493652, 0.20048213005065918, 0.19278192520141602, 0.1790623664855957, 0.15544533729553223, 0.1484527587890625, 0.18314099311828613, 0.14173030853271484, 0.19666361808776855, 0.15250611305236816, 0.15694117546081543, 0.14403605461120605, 0.1801307201385498, 0.17819809913635254, 0.2076711654663086, 0.15216398239135742, 0.16447758674621582, 0.1477212905883789, 0.15986943244934082, 0.21293854713439941, 0.18864178657531738, 0.1885988712310791, 0.1533496379852295, 0.15497946739196777, 0.1947770118713379, 0.14829516410827637, 0.15518999099731445, 0.14805889129638672, 0.1465601921081543, 0.19733715057373047, 0.15966272354125977, 0.14747405052185059, 0.17672395706176758, 0.1772594451904297, 0.16162896156311035, 0.28388452529907227, 0.14796161651611328, 0.15378713607788086, 0.15630412101745605, 0.2251133918762207, 0.22424864768981934, 0.17403435707092285, 0.19484663009643555, 0.18702459335327148, 0.18361806869506836, 0.23341035842895508, 0.17641782760620117, 0.1846935749053955, 0.20337772369384766, 0.16991448402404785, 0.25331783294677734, 0.21552681922912598, 0.20733261108398438, 0.16910338401794434, 0.21406865119934082, 0.16808795928955078, 0.233534574508667, 0.17939162254333496, 0.17798185348510742, 0.1794743537902832, 0.1671586036682129, 0.2681446075439453, 0.21062350273132324, 0.24379992485046387, 0.288898229598999, 0.1954658031463623, 0.2551388740539551, 0.20189571380615234, 0.18541169166564941, 0.1860508918762207, 0.18760228157043457, 0.27124667167663574, 0.20734691619873047, 0.2106482982635498, 0.18358922004699707, 0.17912554740905762, 0.1764388084411621, 0.21799087524414062, 0.2224266529083252, 0.176896333694458, 0.1732158660888672, 0.17587733268737793, 0.22456979751586914, 0.18235397338867188, 0.18376827239990234, 0.19794154167175293, 0.1608109474182129, 0.22666144371032715, 0.18107819557189941, 0.18154120445251465, 0.18053197860717773, 0.1742415428161621, 0.2423558235168457, 0.16830062866210938, 0.20188307762145996, 0.21820378303527832, 0.20532846450805664, 0.21728992462158203, 0.2498624324798584, 0.20634984970092773, 0.19186162948608398, 0.20030617713928223, 0.16961026191711426, 0.22101950645446777, 0.17955255508422852, 0.1814126968383789, 0.18553686141967773, 0.21500349044799805, 0.2571289539337158, 0.20718836784362793, 0.19987225532531738, 0.2060847282409668, 0.15862321853637695, 0.21586251258850098, 0.1795790195465088, 0.17487883567810059, 0.17405080795288086, 0.22941112518310547, 0.2101883888244629, 0.20444536209106445, 0.16250324249267578, 0.17009258270263672, 0.16591286659240723, 0.19714069366455078, 0.2709827423095703, 0.18141841888427734, 0.2053849697113037, 0.213240385055542, 0.18970084190368652, 0.2563967704772949, 0.1999049186706543, 0.17180466651916504, 0.18021130561828613, 0.1752486228942871, 0.2259206771850586, 0.2097153663635254, 0.2121753692626953, 0.16535043716430664, 0.17760586738586426, 0.167144775390625, 0.20865273475646973, 0.1845088005065918, 0.21910548210144043, 0.1721973419189453, 0.19336771965026855, 0.21886873245239258, 0.17934823036193848, 0.19145679473876953, 0.2009587287902832, 0.195908784866333, 0.21645736694335938, 0.16874957084655762, 0.17885828018188477, 0.17461252212524414, 0.19117236137390137, 0.21747422218322754, 0.17940998077392578, 0.17869949340820312, 0.18628334999084473, 0.17837977409362793, 0.19420671463012695, 0.2426912784576416, 0.17247843742370605, 0.1679551601409912, 0.16629290580749512, 0.18182849884033203, 0.21250081062316895, 0.1798708438873291, 0.20621776580810547, 0.18448328971862793, 0.21448493003845215, 0.23198294639587402, 0.20993661880493164, 0.20597505569458008, 0.17950057983398438, 0.18246126174926758, 0.277341365814209, 0.1669011116027832, 0.17408967018127441, 0.1781482696533203, 0.1826331615447998, 0.18927645683288574, 0.2189648151397705, 0.1826479434967041, 0.21120238304138184, 0.2064952850341797, 0.1951127052307129, 0.21868419647216797, 0.1774764060974121, 0.18407678604125977, 0.1826186180114746, 0.18987703323364258, 0.22486019134521484, 0.20358538627624512, 0.18914175033569336, 0.18825626373291016, 0.17267179489135742, 0.22025442123413086, 0.20286798477172852, 0.18740630149841309, 0.19862055778503418, 0.23540759086608887, 0.17628788948059082, 0.19697070121765137, 0.1736743450164795, 0.19101834297180176, 0.1843256950378418, 0.173325777053833, 0.2272803783416748]"
1,1,60.451672315597534,89.70588235294119,307,"[0.16298151016235352, 0.15388751029968262, 0.2057023048400879, 0.25551629066467285, 0.19064807891845703, 0.18677258491516113, 0.1732184886932373, 0.2219085693359375, 0.20253443717956543, 0.27226972579956055, 0.18259263038635254, 0.16919970512390137, 0.20062804222106934, 0.17064571380615234, 0.21254396438598633, 0.17732572555541992, 0.18508052825927734, 0.17013001441955566, 0.18066167831420898, 0.2260129451751709, 0.18801403045654297, 0.20560598373413086, 0.21493268013000488, 0.15893125534057617, 0.217942476272583, 0.18166804313659668, 0.18488717079162598, 0.1795027256011963, 0.17469477653503418, 0.20438265800476074, 0.27747631072998047, 0.1699812412261963, 0.2196216583251953, 0.22549104690551758, 0.17120122909545898, 0.2675459384918213, 0.20809698104858398, 0.20366740226745605, 0.16654491424560547, 0.1668400764465332, 0.2546818256378174, 0.20413732528686523, 0.2093510627746582, 0.20470166206359863, 0.20917415618896484, 0.24963998794555664, 0.19258666038513184, 0.15883302688598633, 0.16837215423583984, 0.18592572212219238, 0.18185114860534668, 0.22154712677001953, 0.17805743217468262, 0.2201063632965088, 0.2106611728668213, 0.19684052467346191, 0.21506834030151367, 0.1743006706237793, 0.17785882949829102, 0.2143416404724121, 0.22041726112365723, 0.21324586868286133, 0.19647455215454102, 0.19969916343688965, 0.19562530517578125, 0.20683956146240234, 0.2142188549041748, 0.2061750888824463, 0.20517539978027344, 0.2078719139099121, 0.15099310874938965, 0.1781022548675537, 0.19796991348266602, 0.17975091934204102, 0.1888129711151123, 0.1765155792236328, 0.2238926887512207, 0.24697303771972656, 0.16345858573913574, 0.17351984977722168, 0.1912369728088379, 0.18833494186401367, 0.23090243339538574, 0.1805562973022461, 0.18303775787353516, 0.17555642127990723, 0.1827092170715332, 0.23128914833068848, 0.20247292518615723, 0.16727757453918457, 0.17902207374572754, 0.1807706356048584, 0.18865251541137695, 0.1990664005279541, 0.20119357109069824, 0.19854474067687988, 0.17672038078308105, 0.17012810707092285, 0.21433615684509277, 0.18697810173034668, 0.18293261528015137, 0.1722116470336914, 0.18701529502868652, 0.27494263648986816, 0.19748210906982422, 0.16729211807250977, 0.1882483959197998, 0.17357730865478516, 0.22160577774047852, 0.15877509117126465, 0.1866455078125, 0.18623971939086914, 0.2087855339050293, 0.2155766487121582, 0.24785733222961426, 0.20384693145751953, 0.20713472366333008, 0.2035813331604004, 0.20743918418884277, 0.24122953414916992, 0.1653282642364502, 0.17191743850708008, 0.21330714225769043, 0.21055126190185547, 0.24489545822143555, 0.2039804458618164, 0.18795990943908691, 0.20272088050842285, 0.19883441925048828, 0.2556936740875244, 0.17212939262390137, 0.19570136070251465, 0.1685495376586914, 0.20354843139648438, 0.21160292625427246, 0.20005369186401367, 0.18814468383789062, 0.1771535873413086, 0.1726841926574707, 0.17729616165161133, 0.2069847583770752, 0.17732787132263184, 0.2123420238494873, 0.20937585830688477, 0.2125554084777832, 0.2133328914642334, 0.18091726303100586, 0.17990493774414062, 0.18396568298339844, 0.18605446815490723, 0.2275702953338623, 0.18768787384033203, 0.2156209945678711, 0.21724963188171387, 0.1748189926147461, 0.17436885833740234, 0.23754358291625977, 0.20783424377441406, 0.17304134368896484, 0.16784262657165527, 0.2034142017364502, 0.2610135078430176, 0.164412260055542, 0.17795014381408691, 0.1745612621307373, 0.20319104194641113, 0.22168231010437012, 0.1831958293914795, 0.17523884773254395, 0.16982507705688477, 0.18192481994628906, 0.23169708251953125, 0.24388885498046875, 0.17965292930603027, 0.17478275299072266, 0.17979979515075684, 0.185593843460083, 0.20357537269592285, 0.19060993194580078, 0.18869805335998535, 0.20065832138061523, 0.16237831115722656, 0.23417878150939941, 0.20024609565734863, 0.17287373542785645, 0.21503162384033203, 0.2115626335144043, 0.2148592472076416, 0.1715259552001953, 0.212144136428833, 0.20959258079528809, 0.20735955238342285, 0.20657968521118164, 0.1712169647216797, 0.17143535614013672, 0.17989516258239746, 0.17372560501098633, 0.18088984489440918, 0.27277088165283203, 0.21679973602294922, 0.16572952270507812, 0.17174005508422852, 0.19866681098937988, 0.21415972709655762, 0.22889399528503418, 0.2045135498046875, 0.20058345794677734, 0.1939389705657959, 0.22893357276916504, 0.18915557861328125, 0.1812427043914795, 0.1838853359222412, 0.21303081512451172, 0.23719215393066406, 0.1725785732269287, 0.168107271194458, 0.17891550064086914, 0.17457079887390137, 0.2218470573425293, 0.25729870796203613, 0.192854642868042, 0.20439529418945312, 0.15852141380310059, 0.19077801704406738, 0.22227883338928223, 0.18549227714538574, 0.19049715995788574, 0.17881178855895996, 0.18899154663085938, 0.2662491798400879, 0.20326590538024902, 0.22293806076049805, 0.20962953567504883, 0.19192123413085938, 0.23027276992797852, 0.18165063858032227, 0.18996620178222656, 0.18369650840759277, 0.18189477920532227, 0.1939563751220703, 0.22500300407409668, 0.18260955810546875, 0.21882009506225586, 0.2137312889099121, 0.1938774585723877, 0.25340890884399414, 0.16981744766235352, 0.18210792541503906, 0.17163944244384766, 0.18770885467529297, 0.23412609100341797, 0.1757967472076416, 0.18278050422668457, 0.18851375579833984, 0.2235860824584961, 0.21546077728271484, 0.1794414520263672, 0.22696828842163086, 0.21933555603027344, 0.17807483673095703, 0.183424711227417, 0.2275371551513672, 0.20025134086608887, 0.18019986152648926, 0.2118666172027588, 0.17531991004943848, 0.21172499656677246, 0.17919564247131348, 0.18682169914245605, 0.19038820266723633, 0.18122267723083496, 0.22251367568969727, 0.19408917427062988, 0.17230463027954102, 0.18654942512512207, 0.2222127914428711, 0.25609731674194336, 0.20423102378845215, 0.1573045253753662, 0.16343283653259277, 0.16745567321777344, 0.20987224578857422, 0.25455594062805176, 0.2133159637451172, 0.21067404747009277, 0.16921424865722656, 0.22483348846435547, 0.2729630470275879, 0.21285462379455566, 0.1602022647857666, 0.1733853816986084, 0.17700862884521484, 0.26866674423217773, 0.17452621459960938, 0.17730379104614258, 0.16646432876586914, 0.1661243438720703, 0.23230981826782227, 0.17765092849731445, 0.17393732070922852, 0.1779186725616455, 0.183074951171875, 0.18350982666015625, 0.20838665962219238, 0.21055960655212402]"
2,2,127.21046900749207,89.85600000000002,626,"[0.1469733715057373, 0.15315485000610352, 0.20830225944519043, 0.16397500038146973, 0.2105391025543213, 0.21249794960021973, 0.16583013534545898, 0.20060253143310547, 0.26154088973999023, 0.16352057456970215, 0.17877435684204102, 0.19483542442321777, 0.18114018440246582, 0.22319698333740234, 0.17174100875854492, 0.1846911907196045, 0.22012114524841309, 0.16598153114318848, 0.2531304359436035, 0.2033216953277588, 0.17003202438354492, 0.16840410232543945, 0.17380285263061523, 0.2309272289276123, 0.18523097038269043, 0.17879199981689453, 0.2103257179260254, 0.20688724517822266, 0.16270160675048828, 0.2121744155883789, 0.17300653457641602, 0.22458481788635254, 0.21327781677246094, 0.20996689796447754, 0.2188096046447754, 0.20619869232177734, 0.21696138381958008, 0.21136474609375, 0.19824504852294922, 0.21401047706604004, 0.18683743476867676, 0.20307087898254395, 0.22171854972839355, 0.21952414512634277, 0.1660776138305664, 0.2170255184173584, 0.17215824127197266, 0.17787432670593262, 0.18372893333435059, 0.2072453498840332, 0.21779990196228027, 0.21393394470214844, 0.2214202880859375, 0.20149588584899902, 0.20023584365844727, 0.26941943168640137, 0.2092444896697998, 0.2120347023010254, 0.19986701011657715, 0.1767876148223877, 0.28212761878967285, 0.2099931240081787, 0.20562386512756348, 0.2028954029083252, 0.1946399211883545, 0.16206884384155273, 0.22307443618774414, 0.18238377571105957, 0.18239068984985352, 0.18738603591918945, 0.18388152122497559, 0.21744751930236816, 0.16754841804504395, 0.19568490982055664, 0.18635058403015137, 0.1730813980102539, 0.22957181930541992, 0.21519160270690918, 0.213714599609375, 0.20274806022644043, 0.20942425727844238, 0.22462248802185059, 0.20130014419555664, 0.21747994422912598, 0.21346044540405273, 0.19501781463623047, 0.17155933380126953, 0.22923707962036133, 0.20398402214050293, 0.21787142753601074, 0.17804861068725586, 0.17080473899841309, 0.22370624542236328, 0.1871809959411621, 0.20368528366088867, 0.17927122116088867, 0.2059493064880371, 0.30403661727905273, 0.21683263778686523, 0.17526841163635254, 0.18297290802001953, 0.1789686679840088, 0.17343711853027344, 0.22296500205993652, 0.21331214904785156, 0.18646717071533203, 0.21116423606872559, 0.21276235580444336, 0.25627923011779785, 0.20826196670532227, 0.17070627212524414, 0.2234480381011963, 0.20296120643615723, 0.21229290962219238, 0.17056560516357422, 0.18254375457763672, 0.1808619499206543, 0.18496274948120117, 0.2627248764038086, 0.18122386932373047, 0.16714835166931152, 0.21650385856628418, 0.2114241123199463, 0.22473406791687012, 0.21652650833129883, 0.1837477684020996, 0.18037700653076172, 0.1816718578338623, 0.18186140060424805, 0.25345659255981445, 0.20789098739624023, 0.21261835098266602, 0.17528200149536133, 0.21714043617248535, 0.2341628074645996, 0.22557806968688965, 0.20712494850158691, 0.20704889297485352, 0.21594858169555664, 0.21820950508117676, 0.17432641983032227, 0.1876544952392578, 0.1778104305267334, 0.18785691261291504, 0.17995023727416992, 0.23073911666870117, 0.20955753326416016, 0.17621374130249023, 0.17364501953125, 0.1870100498199463, 0.2282700538635254, 0.17405939102172852, 0.18602776527404785, 0.18513178825378418, 0.2364485263824463, 0.27502989768981934, 0.21236610412597656, 0.22544193267822266, 0.2031245231628418, 0.21750116348266602, 0.27704334259033203, 0.17792558670043945, 0.18566250801086426, 0.17346477508544922, 0.18787813186645508, 0.1871950626373291, 0.21669411659240723, 0.17527508735656738, 0.19060540199279785, 0.19051456451416016, 0.2419300079345703, 0.24074459075927734, 0.17880773544311523, 0.18598699569702148, 0.18208789825439453, 0.18532896041870117, 0.25512099266052246, 0.18472957611083984, 0.21003174781799316, 0.19545602798461914, 0.18636035919189453, 0.22635555267333984, 0.18806076049804688, 0.19707679748535156, 0.22734522819519043, 0.27672767639160156, 0.22570538520812988, 0.23563194274902344, 0.17854833602905273, 0.18398737907409668, 0.17441034317016602, 0.17241454124450684, 0.22542548179626465, 0.17266440391540527, 0.17824959754943848, 0.17083239555358887, 0.1808300018310547, 0.22118067741394043, 0.21684646606445312, 0.21335911750793457, 0.20212316513061523, 0.20386934280395508, 0.2534909248352051, 0.19981956481933594, 0.16413331031799316, 0.16712117195129395, 0.208634614944458, 0.17117762565612793, 0.22848939895629883, 0.18216228485107422, 0.16922950744628906, 0.1726381778717041, 0.17189645767211914, 0.21816110610961914, 0.17498326301574707, 0.18085789680480957, 0.20999526977539062, 0.21212339401245117, 0.20485877990722656, 0.21915817260742188, 0.18103528022766113, 0.1819615364074707, 0.18901658058166504, 0.22912073135375977, 0.17972373962402344, 0.18847036361694336, 0.17528104782104492, 0.17018508911132812, 0.20781326293945312, 0.22586989402770996, 0.17904996871948242, 0.21928048133850098, 0.20993685722351074, 0.17680931091308594, 0.2761969566345215, 0.19412779808044434, 0.1995680332183838, 0.20102834701538086, 0.17332863807678223, 0.22307968139648438, 0.17530536651611328, 0.18175506591796875, 0.18895554542541504, 0.18278884887695312, 0.21927094459533691, 0.23287272453308105, 0.17069029808044434, 0.1778256893157959, 0.2134082317352295, 0.18912768363952637, 0.2397768497467041, 0.17912721633911133, 0.19662022590637207, 0.2370014190673828, 0.1783437728881836, 0.26805710792541504, 0.25165820121765137, 0.21008062362670898, 0.19177961349487305, 0.17534255981445312, 0.23656558990478516, 0.18087124824523926, 0.18904614448547363, 0.21793437004089355, 0.2022409439086914, 0.2231154441833496, 0.21786165237426758, 0.20578742027282715, 0.21595048904418945, 0.21648001670837402, 0.2113330364227295, 0.27499985694885254, 0.21052241325378418, 0.1643540859222412, 0.18518519401550293, 0.18053531646728516, 0.2283034324645996, 0.23085951805114746, 0.2161271572113037, 0.17584013938903809, 0.1766519546508789, 0.23714756965637207, 0.19863009452819824, 0.18342351913452148, 0.18990063667297363, 0.19614267349243164, 0.28488898277282715, 0.21378612518310547, 0.16764163970947266, 0.20253682136535645, 0.21416878700256348, 0.17196226119995117, 0.24347329139709473, 0.20675873756408691, 0.2221219539642334, 0.21736431121826172, 0.17317628860473633, 0.26834559440612793, 0.2161266803741455, 0.1761176586151123, 0.17106103897094727, 0.21257472038269043, 0.2199251651763916, 0.19074773788452148, 0.19185614585876465, 0.18155717849731445, 0.2075197696685791, 0.27248382568359375, 0.1709890365600586, 0.17981505393981934, 0.1838386058807373, 0.17860007286071777, 0.2234342098236084, 0.27050018310546875, 0.20741701126098633, 0.17274188995361328, 0.18077969551086426, 0.18139266967773438, 0.24294781684875488, 0.20777153968811035, 0.1859438419342041, 0.22691059112548828, 0.17302584648132324, 0.2197413444519043, 0.18703007698059082, 0.22077584266662598, 0.22783994674682617, 0.2135474681854248, 0.2631804943084717, 0.17238187789916992, 0.17996478080749512, 0.20402836799621582, 0.17345976829528809, 0.19639158248901367, 0.21762919425964355, 0.21966314315795898, 0.21450471878051758, 0.17806243896484375, 0.19188547134399414, 0.27716612815856934, 0.21071696281433105, 0.16997385025024414, 0.17174100875854492, 0.19050097465515137, 0.23197054862976074, 0.22642755508422852, 0.18018317222595215, 0.18120932579040527, 0.1796109676361084, 0.23293590545654297, 0.20340681076049805, 0.2108149528503418, 0.21647286415100098, 0.17529845237731934, 0.1808173656463623, 0.2396700382232666, 0.1916522979736328, 0.21345019340515137, 0.21867012977600098, 0.1707315444946289, 0.23092412948608398, 0.20680713653564453, 0.2139759063720703, 0.20896244049072266, 0.1844620704650879, 0.22036194801330566, 0.2101750373840332, 0.21399664878845215, 0.18812108039855957, 0.17594385147094727, 0.23616337776184082, 0.18228769302368164, 0.18639421463012695, 0.188446044921875, 0.20380854606628418, 0.20089459419250488, 0.21616554260253906, 0.18262529373168945, 0.1871628761291504, 0.20136308670043945, 0.23684000968933105, 0.2571709156036377, 0.1724250316619873, 0.17434930801391602, 0.2104489803314209, 0.20661664009094238, 0.26285409927368164, 0.17272114753723145, 0.17430377006530762, 0.17629551887512207, 0.1883254051208496, 0.2261638641357422, 0.19032073020935059, 0.2089550495147705, 0.22061705589294434, 0.18591856956481934, 0.20284652709960938, 0.273115873336792, 0.16928791999816895, 0.2131500244140625, 0.18767619132995605, 0.18224215507507324, 0.23613595962524414, 0.19779133796691895, 0.2028670310974121, 0.20007061958312988, 0.17099308967590332, 0.24195551872253418, 0.19129490852355957, 0.19336485862731934, 0.18067336082458496, 0.18244481086730957, 0.2466566562652588, 0.2193593978881836, 0.2097017765045166, 0.17616748809814453, 0.1789720058441162, 0.20916128158569336, 0.2305922508239746, 0.17731928825378418, 0.19835710525512695, 0.18489813804626465, 0.18199539184570312, 0.23569226264953613, 0.21524715423583984, 0.19393086433410645, 0.19610118865966797, 0.21806859970092773, 0.23795413970947266, 0.2062218189239502, 0.21202707290649414, 0.18686819076538086, 0.17115330696105957, 0.23552250862121582, 0.20555639266967773, 0.21861743927001953, 0.1681346893310547, 0.20189929008483887, 0.18134355545043945, 0.22249317169189453, 0.19040966033935547, 0.22249770164489746, 0.18042230606079102, 0.18523883819580078, 0.22880887985229492, 0.1876966953277588, 0.21950531005859375, 0.17562007904052734, 0.21190285682678223, 0.23513531684875488, 0.18918800354003906, 0.18457841873168945, 0.19104719161987305, 0.18870019912719727, 0.2505776882171631, 0.20278263092041016, 0.17987751960754395, 0.1827390193939209, 0.21778321266174316, 0.18074679374694824, 0.20858454704284668, 0.18515753746032715, 0.2241990566253662, 0.22849321365356445, 0.17820143699645996, 0.22493648529052734, 0.18343663215637207, 0.21919989585876465, 0.19036126136779785, 0.17712616920471191, 0.22532224655151367, 0.17697811126708984, 0.1862499713897705, 0.2156846523284912, 0.2841305732727051, 0.27340030670166016, 0.1781458854675293, 0.19239211082458496, 0.22748517990112305, 0.18032622337341309, 0.18897795677185059, 0.23435497283935547, 0.2042522430419922, 0.19172120094299316, 0.17503881454467773, 0.18562626838684082, 0.23212671279907227, 0.17796635627746582, 0.19454431533813477, 0.18232989311218262, 0.18231511116027832, 0.22928500175476074, 0.18763065338134766, 0.20586848258972168, 0.17517685890197754, 0.18008708953857422, 0.23851871490478516, 0.16518425941467285, 0.2019643783569336, 0.1898956298828125, 0.1880028247833252, 0.18378305435180664, 0.2199554443359375, 0.20376086235046387, 0.19126296043395996, 0.18025732040405273, 0.18584418296813965, 0.22513270378112793, 0.19317340850830078, 0.18685030937194824, 0.2192368507385254, 0.22060036659240723, 0.2355515956878662, 0.18787002563476562, 0.18476128578186035, 0.20547246932983398, 0.22306585311889648, 0.2626993656158447, 0.17153382301330566, 0.20714306831359863, 0.1772918701171875, 0.17543673515319824, 0.22218108177185059, 0.2870368957519531, 0.22114276885986328, 0.17567849159240723, 0.1807544231414795, 0.2080371379852295, 0.23954057693481445, 0.18877816200256348, 0.18288969993591309, 0.18491888046264648, 0.19242143630981445, 0.28313374519348145, 0.20745158195495605, 0.17700982093811035, 0.18486261367797852, 0.21494603157043457, 0.22885441780090332, 0.1802835464477539, 0.1923055648803711, 0.23686480522155762, 0.22190093994140625, 0.17795324325561523, 0.25937533378601074, 0.1791384220123291, 0.23622703552246094, 0.19165921211242676, 0.18074607849121094, 0.27973008155822754, 0.17880654335021973, 0.19712018966674805, 0.19942927360534668, 0.18816041946411133, 0.2319331169128418, 0.21220111846923828, 0.22861170768737793, 0.22163152694702148, 0.21269583702087402, 0.2648298740386963, 0.21140289306640625, 0.17835307121276855, 0.2163379192352295, 0.17276692390441895, 0.2199268341064453, 0.2726113796234131, 0.20461225509643555, 0.17360711097717285, 0.17822742462158203, 0.20592069625854492, 0.2744791507720947, 0.16880083084106445, 0.17672276496887207, 0.22207927703857422, 0.20239043235778809, 0.25587916374206543, 0.18432903289794922, 0.21687102317810059, 0.2171323299407959, 0.18904757499694824, 0.22695350646972656, 0.1885242462158203, 0.18233823776245117, 0.18695735931396484, 0.1854548454284668, 0.19579005241394043, 0.22768282890319824, 0.18869471549987793, 0.20784926414489746, 0.18141436576843262, 0.19303464889526367, 0.2409977912902832, 0.17882108688354492, 0.1797475814819336, 0.21382927894592285, 0.23321747779846191, 0.2293379306793213, 0.22136998176574707, 0.2061762809753418, 0.21393537521362305, 0.18362832069396973, 0.24030470848083496, 0.1856975555419922, 0.23247480392456055, 0.2227771282196045, 0.21930766105651855, 0.1823253631591797, 0.22387456893920898, 0.19178271293640137, 0.19405508041381836, 0.19214105606079102, 0.18922758102416992, 0.25048279762268066, 0.21332359313964844, 0.2159128189086914, 0.21006417274475098, 0.22296953201293945, 0.22404170036315918, 0.20866775512695312, 0.18159127235412598, 0.19257164001464844, 0.2331228256225586, 0.23018813133239746, 0.1899275779724121]"
