Path_Number,Command_Timeout(s),Num_Iteration,Total_Path_Latency(s),Num_Unique_Msgs,Num_Timeouts,Command_Latency_Metrics
0,0.34,1,108.4404046535492,349,37,"[1678141516.1677158, 1678141516.4349117, 1678141516.701805, 1678141516.9199033, 1678141517.253286, 1678141517.4694226, 1678141517.8195097, 1678141518.0533798, 1678141518.3204772, 1678141518.5869372, 1678141518.8374977, 1678141519.1211805, 1678141519.3880558, 1678141519.6057029, 1678141519.8553698, 1678141520.1262465, 1678141520.4431117, 1678141520.706048, 1678141521.0569391, 1678141521.407067, 1678141521.690588, 1678141521.913416, 1678141522.298691, 1678141522.6580932, 1678141522.9589794, 1678141523.2595673, 1678141523.5787401, 1678141523.8788514, 1678141524.1287374, 1678141524.4450119, 1678141524.7274616, 1678141524.960979, 1678141525.3282619, 1678141525.5968091, 1678141525.879232, 1678141526.1626647, 1678141526.3962555, 1678141526.6961672, 1678141526.9309297, 1678141527.2639463, 1678141527.5307186, 1678141527.8143415, 1678141528.0478632, 1678141528.414937, 1678141528.8353548, 1678141529.0868003, 1678141529.3497727, 1678141529.61632, 1678141529.9168606, 1678141530.1837478, 1678141530.4688966, 1678141530.7011123, 1678141530.9510112, 1678141531.2681136, 1678141531.5523748, 1678141531.8357255, 1678141532.1400628, 1678141532.453197, 1678141532.7869751, 1678141533.0715148, 1678141533.356334, 1678141533.6744964, 1678141533.988086, 1678141534.2553613, 1678141534.5888708, 1678141534.8727612, 1678141535.139467, 1678141535.4912195, 1678141535.7748256, 1678141536.07395, 1678141536.3290925, 1678141536.5948398, 1678141536.8746836, 1678141537.1433234, 1678141537.508526, 1678141537.742351, 1678141538.0305347, 1678141538.354686, 1678141538.643685, 1678141538.9435914, 1678141539.300378, 1678141539.6824257, 1678141539.9448586, 1678141540.2959955, 1678141540.6999242, 1678141541.0746439, 1678141541.4351485, 1678141541.7149923, 1678141542.0309293, 1678141542.3309422, 1678141542.7266803, 1678141543.066098, 1678141543.3487222, 1678141543.6378565, 1678141543.9494293, 1678141544.3167248, 1678141544.6682458, 1678141544.9506028, 1678141545.2840889, 1678141545.601811, 1678141545.8866322, 1678141546.2802484, 1678141546.6047285, 1678141546.8861642, 1678141547.1869433, 1678141547.56061, 1678141547.8892064, 1678141548.1546466, 1678141548.5061738, 1678141548.8265994, 1678141549.1388342, 1678141549.5478413, 1678141549.9074376, 1678141550.2398727, 1678141550.5236073, 1678141550.7737892, 1678141551.1408947, 1678141551.4244504, 1678141551.692849, 1678141551.993202, 1678141552.294629, 1678141552.6523936, 1678141553.062696, 1678141553.361115, 1678141553.6774275, 1678141553.9639783, 1678141554.261551, 1678141554.5951805, 1678141554.9143047, 1678141555.2293625, 1678141555.4976149, 1678141555.77994, 1678141556.1014605, 1678141556.4466636, 1678141556.7809756, 1678141557.0897615, 1678141557.3984067, 1678141557.7486608, 1678141558.1026556, 1678141558.4044461, 1678141558.701207, 1678141558.9849896, 1678141559.2691107, 1678141559.552539, 1678141559.855189, 1678141560.1513166, 1678141560.418248, 1678141560.6688378, 1678141561.006534, 1678141561.3530633, 1678141561.7197099, 1678141562.0202048, 1678141562.3870416, 1678141562.7881722, 1678141563.1051435, 1678141563.438303, 1678141563.7388194, 1678141564.0392199, 1678141564.3893833, 1678141564.8069406, 1678141565.1115134, 1678141565.4090903, 1678141565.707884, 1678141566.018497, 1678141566.3108876, 1678141566.592029, 1678141566.8926022, 1678141567.2707796, 1678141567.6429112, 1678141567.9940052, 1678141568.3288536, 1678141568.6113653, 1678141568.894743, 1678141569.212208, 1678141569.5548153, 1678141569.8121192, 1678141570.1128263, 1678141570.3965223, 1678141570.680151, 1678141571.0307903, 1678141571.347601, 1678141571.6004868, 1678141571.898238, 1678141572.2027192, 1678141572.482065, 1678141572.803828, 1678141573.0669496, 1678141573.3669777, 1678141573.6833775, 1678141574.0387883, 1678141574.4146662, 1678141574.7513075, 1678141575.0518117, 1678141575.3185182, 1678141575.5856678, 1678141575.9027233, 1678141576.1880496, 1678141576.4709911, 1678141576.7203538, 1678141577.004066, 1678141577.3543708, 1678141577.7389302, 1678141578.0382776, 1678141578.341059, 1678141578.6392996, 1678141578.8907502, 1678141579.1896474, 1678141579.5108569, 1678141579.8072639, 1678141580.1583674, 1678141580.4409883, 1678141580.7424247, 1678141581.0472956, 1678141581.3925855, 1678141581.7591763, 1678141582.0599864, 1678141582.4119346, 1678141582.678874, 1678141582.9981644, 1678141583.418775, 1678141583.7616513, 1678141584.0734894, 1678141584.3478453, 1678141584.646187, 1678141585.02992, 1678141585.3808918, 1678141585.690669, 1678141586.0309474, 1678141586.4315732, 1678141586.7315562, 1678141587.042691, 1678141587.3824446, 1678141587.7348714, 1678141588.0528536, 1678141588.4439225, 1678141588.8341036, 1678141589.1178992, 1678141589.5120034, 1678141589.8354414, 1678141590.1192036, 1678141590.4231286, 1678141590.7362325, 1678141591.0582504, 1678141591.3226173, 1678141591.57039, 1678141591.9209146, 1678141592.3055532, 1678141592.6216724, 1678141592.988893, 1678141593.4225807, 1678141593.856595, 1678141594.125482, 1678141594.4077976, 1678141594.741412, 1678141595.057589, 1678141595.3253531, 1678141595.6084263, 1678141595.934719, 1678141596.3927424, 1678141596.7600644, 1678141597.1271923, 1678141597.427273, 1678141597.7440467, 1678141598.0968485, 1678141598.4666765, 1678141598.763513, 1678141599.02932, 1678141599.3467305, 1678141599.630016, 1678141599.9819283, 1678141600.2471204, 1678141600.5224183, 1678141600.8496964, 1678141601.1652055, 1678141601.5164144, 1678141601.7999606, 1678141602.1184466, 1678141602.419254, 1678141602.7831087, 1678141603.1729724, 1678141603.5006242, 1678141603.784937, 1678141604.0850263, 1678141604.3697927, 1678141604.6687353, 1678141604.9708188, 1678141605.2549732, 1678141605.53652, 1678141605.8201454, 1678141606.1206021, 1678141606.4546394, 1678141606.7379255, 1678141607.0233223, 1678141607.3386643, 1678141607.6554675, 1678141607.939355, 1678141608.2398295, 1678141608.606601, 1678141608.8937454, 1678141609.1748998, 1678141609.5244818, 1678141609.9002147, 1678141610.2419696, 1678141610.628524, 1678141610.97877, 1678141611.311109, 1678141611.599662, 1678141611.9607933, 1678141612.3109262, 1678141612.578816, 1678141612.895644, 1678141613.1977165, 1678141613.5954366, 1678141613.8962178, 1678141614.1962616, 1678141614.476846, 1678141614.8304338, 1678141615.091931, 1678141615.3989928, 1678141615.6820588, 1678141616.0483072, 1678141616.4487994, 1678141616.7493198, 1678141617.0693607, 1678141617.3837128, 1678141617.7501123, 1678141618.1229632, 1678141618.488073, 1678141618.8389242, 1678141619.1354299, 1678141619.3851964, 1678141619.640943, 1678141619.9694843, 1678141620.2866828, 1678141620.569971, 1678141620.8548753, 1678141621.154234, 1678141621.4728937, 1678141621.740721, 1678141622.002336, 1678141622.3219433, 1678141622.593997, 1678141622.9067278, 1678141623.2093046, 1678141623.5582414, 1678141623.8572972, 1678141624.2074673]"
1,0.5,1,62.92377066612244,206,2,"[1678141636.7553468, 1678141637.039358, 1678141637.308814, 1678141637.6237588, 1678141637.9230077, 1678141638.2734685, 1678141638.5091798, 1678141638.7757823, 1678141639.0274525, 1678141639.3913753, 1678141639.7250662, 1678141639.9928207, 1678141640.2455058, 1678141640.4927526, 1678141640.7764351, 1678141641.0769022, 1678141641.3769994, 1678141641.6951518, 1678141641.9990797, 1678141642.2828639, 1678141642.6155417, 1678141642.9285245, 1678141643.1966302, 1678141643.4981434, 1678141643.8172019, 1678141644.146753, 1678141644.4469683, 1678141644.7138474, 1678141645.0482008, 1678141645.351072, 1678141645.6982856, 1678141646.0825956, 1678141646.3689034, 1678141646.6497476, 1678141646.9499502, 1678141647.2261772, 1678141647.5684075, 1678141647.9010837, 1678141648.1848865, 1678141648.4879732, 1678141648.7521806, 1678141649.1360753, 1678141649.4359713, 1678141649.7227843, 1678141650.0202484, 1678141650.3206298, 1678141650.6046238, 1678141650.9381323, 1678141651.2252362, 1678141651.4867184, 1678141651.7397501, 1678141652.0895495, 1678141652.4233644, 1678141652.74006, 1678141653.0071838, 1678141653.3405821, 1678141653.6079028, 1678141654.0079129, 1678141654.354944, 1678141654.6420841, 1678141654.945218, 1678141655.259402, 1678141655.5960407, 1678141655.9329114, 1678141656.2291708, 1678141656.544188, 1678141656.8387766, 1678141657.1288764, 1678141657.4634347, 1678141657.8123543, 1678141658.1296172, 1678141658.41773, 1678141658.7187185, 1678141659.0668392, 1678141659.3538253, 1678141659.6317468, 1678141659.898305, 1678141660.1655126, 1678141660.4492576, 1678141660.7324748, 1678141661.0267336, 1678141661.3327186, 1678141661.6498353, 1678141661.933803, 1678141662.2009542, 1678141662.5341475, 1678141662.9372237, 1678141663.251575, 1678141663.5190244, 1678141664.0523274, 1678141664.4700773, 1678141664.753578, 1678141665.04181, 1678141665.3915343, 1678141665.7212543, 1678141666.0227914, 1678141666.3722656, 1678141666.6725798, 1678141666.9585013, 1678141667.306429, 1678141667.5735831, 1678141667.960166, 1678141668.290962, 1678141668.5410767, 1678141668.9248672, 1678141669.2458744, 1678141669.6753588, 1678141669.9427202, 1678141670.2442343, 1678141670.5118065, 1678141670.8770986, 1678141671.1787205, 1678141671.494334, 1678141671.8120227, 1678141672.0952814, 1678141672.4125197, 1678141672.814388, 1678141673.0641856, 1678141673.3963742, 1678141673.6469433, 1678141673.9648204, 1678141674.2335486, 1678141674.5309112, 1678141674.7982256, 1678141675.1026475, 1678141675.3899636, 1678141675.6480007, 1678141675.8993664, 1678141676.166291, 1678141676.4036174, 1678141676.6841204, 1678141677.050788, 1678141677.3179035, 1678141677.6608307, 1678141677.9685035, 1678141678.268977, 1678141678.5909643, 1678141678.9533103, 1678141679.5037644, 1678141679.854084, 1678141680.104819, 1678141680.4212215, 1678141680.6880853, 1678141680.9574168, 1678141681.2570584, 1678141681.5554235, 1678141681.8727763, 1678141682.2087326, 1678141682.5100994, 1678141682.8769424, 1678141683.1611032, 1678141683.4687815, 1678141683.7950203, 1678141684.1108332, 1678141684.425945, 1678141684.7595782, 1678141685.048099, 1678141685.359977, 1678141685.643785, 1678141685.9275026, 1678141686.2456982, 1678141686.5279005, 1678141686.8781662, 1678141687.1338806, 1678141687.396172, 1678141687.746624, 1678141688.0464745, 1678141688.347618, 1678141688.681672, 1678141689.0847974, 1678141689.3663788, 1678141689.6648402, 1678141689.9320052, 1678141690.2995265, 1678141690.570424, 1678141690.8665357, 1678141691.150548, 1678141691.433879, 1678141691.800676, 1678141692.0510423, 1678141692.3521426, 1678141692.6608872, 1678141692.9693282, 1678141693.2859335, 1678141693.6690252, 1678141693.9695156, 1678141694.253665, 1678141694.6203654, 1678141694.95398, 1678141695.204909, 1678141695.5114868, 1678141695.776012, 1678141696.0569928, 1678141696.3589673, 1678141696.6442444, 1678141696.9061987, 1678141697.1568143, 1678141697.4626827, 1678141697.8240714, 1678141698.208215, 1678141698.510575, 1678141698.777388, 1678141699.0935209, 1678141699.3971562]"
2,0.74,1,132.16472578048706,390,0,"[1678141723.0355673, 1678141723.363441, 1678141723.6390584, 1678141723.9218748, 1678141724.2710063, 1678141724.6375668, 1678141724.871279, 1678141725.1887214, 1678141725.4903193, 1678141725.7551756, 1678141726.0721958, 1678141726.3562284, 1678141726.6897886, 1678141726.9735649, 1678141727.2570672, 1678141727.590741, 1678141727.8579109, 1678141728.1923158, 1678141728.4990346, 1678141728.8426154, 1678141729.2144508, 1678141729.54521, 1678141729.8931198, 1678141730.246804, 1678141730.6452675, 1678141730.9949613, 1678141731.4283345, 1678141731.762986, 1678141732.1002617, 1678141732.4128323, 1678141732.6968281, 1678141733.213938, 1678141733.4978514, 1678141733.8509758, 1678141734.2150016, 1678141734.5333633, 1678141734.8823748, 1678141735.2205966, 1678141735.6334083, 1678141735.9525654, 1678141736.251626, 1678141736.6348486, 1678141736.9682724, 1678141737.3019025, 1678141737.643376, 1678141738.0029356, 1678141738.3892956, 1678141738.7202687, 1678141739.1202543, 1678141739.537575, 1678141739.888472, 1678141740.1881309, 1678141740.53919, 1678141740.8749263, 1678141741.2398152, 1678141741.5582256, 1678141741.843104, 1678141742.1764174, 1678141742.4910889, 1678141742.859171, 1678141743.1914651, 1678141743.5594914, 1678141743.9765294, 1678141744.3434434, 1678141744.6995325, 1678141745.1275318, 1678141745.4796686, 1678141745.8447244, 1678141746.195498, 1678141746.5509431, 1678141746.830521, 1678141747.1301448, 1678141747.4311209, 1678141747.780191, 1678141748.1505554, 1678141748.4480577, 1678141748.7665946, 1678141749.149376, 1678141749.5353138, 1678141749.8368075, 1678141750.1996076, 1678141750.5503109, 1678141750.8424447, 1678141751.2347903, 1678141751.6017027, 1678141751.8852088, 1678141752.2356317, 1678141752.7690783, 1678141753.124285, 1678141753.455959, 1678141753.8036263, 1678141754.1391397, 1678141754.490806, 1678141754.911915, 1678141755.3216937, 1678141755.6080017, 1678141755.923079, 1678141756.3728576, 1678141756.6907966, 1678141757.0764203, 1678141757.358455, 1678141757.67451, 1678141757.9751248, 1678141758.3266776, 1678141758.6772633, 1678141759.0311596, 1678141759.3594806, 1678141759.6432998, 1678141759.9271967, 1678141760.3778667, 1678141760.7135746, 1678141761.0448573, 1678141761.4622478, 1678141761.813226, 1678141762.1299403, 1678141762.5301085, 1678141762.813978, 1678141763.1474488, 1678141763.4666188, 1678141763.8163798, 1678141764.2001057, 1678141764.5185235, 1678141764.7996526, 1678141765.1511512, 1678141765.4534907, 1678141765.7670116, 1678141766.0848134, 1678141766.402021, 1678141766.7179952, 1678141767.0527632, 1678141767.402196, 1678141767.769025, 1678141768.1199174, 1678141768.4200075, 1678141768.755358, 1678141769.170705, 1678141769.587816, 1678141769.9217181, 1678141770.3055134, 1678141770.622615, 1678141770.9570246, 1678141771.2730815, 1678141771.5900347, 1678141771.8949776, 1678141772.195079, 1678141772.6243432, 1678141772.9589076, 1678141773.2796679, 1678141773.642208, 1678141773.9870036, 1678141774.2930107, 1678141774.643576, 1678141774.9771302, 1678141775.3443491, 1678141775.6780698, 1678141775.99509, 1678141776.3286562, 1678141776.6967332, 1678141776.9643052, 1678141777.2966576, 1678141777.6495402, 1678141778.0176506, 1678141778.382903, 1678141778.6988318, 1678141779.0669308, 1678141779.3898163, 1678141779.6991327, 1678141780.0508404, 1678141780.4166865, 1678141780.7177343, 1678141781.0682845, 1678141781.3509972, 1678141781.7015789, 1678141782.0687692, 1678141782.3378873, 1678141782.7108097, 1678141783.0207684, 1678141783.3257043, 1678141783.636739, 1678141784.0209074, 1678141784.3394046, 1678141784.6897123, 1678141784.9728093, 1678141785.3444993, 1678141785.6894047, 1678141785.9989064, 1678141786.323207, 1678141786.6571932, 1678141786.9742382, 1678141787.25748, 1678141787.5580974, 1678141787.891554, 1678141788.208679, 1678141788.5308278, 1678141788.8591375, 1678141789.1933486, 1678141789.5103602, 1678141789.7947817, 1678141790.130627, 1678141790.4779623, 1678141790.7964857, 1678141791.0954812, 1678141791.4131727, 1678141791.7074015, 1678141792.046839, 1678141792.3827431, 1678141792.7320335, 1678141793.0642335, 1678141793.4314647, 1678141793.7673678, 1678141794.0984428, 1678141794.4010408, 1678141794.7327535, 1678141795.066561, 1678141795.4335396, 1678141795.7838724, 1678141796.0859704, 1678141796.3723564, 1678141796.7179923, 1678141797.1022127, 1678141797.4390738, 1678141797.8690941, 1678141798.2031872, 1678141798.5032525, 1678141798.7908003, 1678141799.2228162, 1678141799.5379522, 1678141799.8569238, 1678141800.23908, 1678141800.572708, 1678141801.0062563, 1678141801.3403437, 1678141801.626291, 1678141801.93003, 1678141802.2362669, 1678141802.5912843, 1678141802.9422357, 1678141803.310173, 1678141803.5965283, 1678141803.9095988, 1678141804.2368321, 1678141804.5936708, 1678141804.899387, 1678141805.2944584, 1678141805.644563, 1678141806.0284388, 1678141806.3453844, 1678141806.645869, 1678141806.9461613, 1678141807.2636406, 1678141807.580795, 1678141807.930937, 1678141808.282066, 1678141808.6481738, 1678141809.032003, 1678141809.3658133, 1678141809.7346337, 1678141810.0682185, 1678141810.3999918, 1678141810.7194207, 1678141811.0672436, 1678141811.3844476, 1678141811.6855762, 1678141811.9854534, 1678141812.287796, 1678141812.6314118, 1678141812.919904, 1678141813.3535526, 1678141813.654549, 1678141813.9376113, 1678141814.323413, 1678141814.6227224, 1678141814.9724782, 1678141815.3420618, 1678141815.6911964, 1678141815.992624, 1678141816.2903523, 1678141816.657745, 1678141816.9273899, 1678141817.2245634, 1678141817.5096908, 1678141817.8753924, 1678141818.182885, 1678141818.579268, 1678141818.959401, 1678141819.2949347, 1678141819.6938803, 1678141820.001184, 1678141820.427814, 1678141820.7282546, 1678141821.0138783, 1678141821.346883, 1678141821.632712, 1678141821.9460373, 1678141822.265069, 1678141822.5803428, 1678141822.8642535, 1678141823.1643589, 1678141823.6585963, 1678141824.0030713, 1678141824.3343282, 1678141824.6666672, 1678141824.999674, 1678141825.3208113, 1678141825.6860037, 1678141825.9846199, 1678141826.269545, 1678141826.5850248, 1678141826.8686395, 1678141827.2189858, 1678141827.5693007, 1678141827.9404635, 1678141828.4031744, 1678141828.7376018, 1678141829.137854, 1678141829.5047429, 1678141829.8050582, 1678141830.2075362, 1678141830.54218, 1678141830.9237103, 1678141831.2268722, 1678141831.6116886, 1678141831.924197, 1678141832.2272978, 1678141832.5252016, 1678141832.8758419, 1678141833.1925616, 1678141833.5151196, 1678141833.830886, 1678141834.2100725, 1678141834.6270618, 1678141834.9282193, 1678141835.230687, 1678141835.5472572, 1678141835.896235, 1678141836.2306974, 1678141836.6793568, 1678141837.0108178, 1678141837.3673475, 1678141837.738928, 1678141838.097524, 1678141838.4314537, 1678141838.784417, 1678141839.1788096, 1678141839.782964, 1678141840.083326, 1678141840.4838464, 1678141840.8338711, 1678141841.152408, 1678141841.6018498, 1678141841.985223, 1678141842.3356113, 1678141842.6572592, 1678141842.9868922, 1678141843.3397937, 1678141843.6708233, 1678141844.121752, 1678141844.4884024, 1678141844.7889488, 1678141845.1229012, 1678141845.5249119, 1678141845.8899558, 1678141846.2098098, 1678141846.557856, 1678141846.8750732, 1678141847.17534, 1678141847.5248632, 1678141847.891829, 1678141848.2261093, 1678141848.5636477, 1678141848.8932195, 1678141849.263924, 1678141849.62764, 1678141849.9614336, 1678141850.3120122, 1678141850.628102, 1678141850.9656441, 1678141851.3495677, 1678141851.663452, 1678141852.0304782, 1678141852.3490546, 1678141852.7475834, 1678141853.1479478, 1678141853.4990928, 1678141853.8347325, 1678141854.2169561, 1678141854.5658317, 1678141854.8998506]"
3,0.45,1,61.771384477615356,195,0,"[1678141867.6655774, 1678141867.9308968, 1678141868.237321, 1678141868.578802, 1678141868.948954, 1678141869.242028, 1678141869.532384, 1678141869.833832, 1678141870.2005594, 1678141870.5671616, 1678141870.8672287, 1678141871.2509828, 1678141871.6017745, 1678141871.9231439, 1678141872.2542017, 1678141872.602983, 1678141872.9028957, 1678141873.1715581, 1678141873.4371278, 1678141873.8207269, 1678141874.170884, 1678141874.4552736, 1678141874.7717817, 1678141875.0906572, 1678141875.4391432, 1678141875.7729707, 1678141876.076035, 1678141876.4067678, 1678141876.656892, 1678141876.957453, 1678141877.2747161, 1678141877.558077, 1678141877.8915877, 1678141878.2266054, 1678141878.5427372, 1678141878.91031, 1678141879.261791, 1678141879.5600483, 1678141879.9274662, 1678141880.2110853, 1678141880.51136, 1678141880.8118014, 1678141881.112585, 1678141881.4127533, 1678141881.7122965, 1678141882.013107, 1678141882.3300054, 1678141882.7302723, 1678141883.0810497, 1678141883.4151115, 1678141883.731952, 1678141884.0508578, 1678141884.3492367, 1678141884.66707, 1678141885.0330045, 1678141885.2999208, 1678141885.6673007, 1678141885.9354115, 1678141886.2539833, 1678141886.5510194, 1678141886.8534882, 1678141887.1374857, 1678141887.494104, 1678141887.8531263, 1678141888.1366656, 1678141888.4705076, 1678141888.8206034, 1678141889.1541696, 1678141889.4552484, 1678141889.8570485, 1678141890.13953, 1678141890.4226303, 1678141890.7393768, 1678141891.0414445, 1678141891.309082, 1678141891.6581814, 1678141891.9751399, 1678141892.2913387, 1678141892.6005573, 1678141892.9268532, 1678141893.2088842, 1678141893.576037, 1678141893.9163594, 1678141894.2597237, 1678141894.5449634, 1678141894.8939583, 1678141895.2320733, 1678141895.547252, 1678141895.896843, 1678141896.179495, 1678141896.499458, 1678141896.8129494, 1678141897.11373, 1678141897.414827, 1678141897.7239656, 1678141898.013872, 1678141898.3189924, 1678141898.6482577, 1678141898.9485648, 1678141899.2338388, 1678141899.5704305, 1678141899.9184697, 1678141900.2000473, 1678141900.5000968, 1678141900.854837, 1678141901.2012599, 1678141901.53605, 1678141901.8191006, 1678141902.0904567, 1678141902.4020247, 1678141902.7196486, 1678141903.0382397, 1678141903.286696, 1678141903.6375446, 1678141904.0039885, 1678141904.2877636, 1678141904.5901694, 1678141904.939311, 1678141905.2404013, 1678141905.5737545, 1678141905.873255, 1678141906.141953, 1678141906.4268556, 1678141906.7452943, 1678141907.0404246, 1678141907.3913298, 1678141907.7084782, 1678141908.1425927, 1678141908.4839392, 1678141908.877766, 1678141909.2096972, 1678141909.4946609, 1678141909.8153222, 1678141910.1105533, 1678141910.4150991, 1678141910.7618358, 1678141911.0617142, 1678141911.372355, 1678141911.6788654, 1678141911.9962482, 1678141912.3512, 1678141912.6966171, 1678141913.0153396, 1678141913.3154864, 1678141913.6313212, 1678141913.9986274, 1678141914.4159613, 1678141914.6994092, 1678141915.0662863, 1678141915.3498282, 1678141915.668053, 1678141916.017408, 1678141916.4030676, 1678141916.669507, 1678141916.9707835, 1678141917.2687263, 1678141917.5876997, 1678141917.8920808, 1678141918.2222376, 1678141918.5759087, 1678141918.9565637, 1678141919.2712061, 1678141919.5711265, 1678141919.9438624, 1678141920.2554722, 1678141920.539197, 1678141920.8393517, 1678141921.1453345, 1678141921.4400525, 1678141921.7947605, 1678141922.1572225, 1678141922.4580665, 1678141922.8413827, 1678141923.177425, 1678141923.4768794, 1678141923.8107884, 1678141924.0599551, 1678141924.3947136, 1678141924.7604296, 1678141925.0626442, 1678141925.4028425, 1678141925.7279363, 1678141926.0285838, 1678141926.3699872, 1678141926.6461685, 1678141926.9294035, 1678141927.2134416, 1678141927.5652225, 1678141927.898321, 1678141928.1987545, 1678141928.4822369, 1678141928.8314774, 1678141929.1984167]"
4,0.37,1,55.009361028671265,170,3,"[1678141940.494562, 1678141940.7612665, 1678141941.062881, 1678141941.4129343, 1678141941.7623203, 1678141942.0333285, 1678141942.4427118, 1678141942.8660445, 1678141943.1690588, 1678141943.5481977, 1678141943.8480933, 1678141944.1652308, 1678141944.4817085, 1678141944.8157582, 1678141945.1326284, 1678141945.4500108, 1678141945.766974, 1678141946.1075346, 1678141946.4342704, 1678141946.7180731, 1678141947.0683317, 1678141947.4185312, 1678141947.7628953, 1678141948.0711184, 1678141948.422976, 1678141948.7534626, 1678141949.0233119, 1678141949.321623, 1678141949.6471467, 1678141949.9387221, 1678141950.2886992, 1678141950.6055121, 1678141950.89036, 1678141951.1909378, 1678141951.5569983, 1678141951.9071815, 1678141952.2425518, 1678141952.5578673, 1678141952.874613, 1678141953.195873, 1678141953.4604871, 1678141953.8089094, 1678141954.0926697, 1678141954.4097853, 1678141954.7329204, 1678141955.0269504, 1678141955.39436, 1678141955.7114096, 1678141956.0117207, 1678141956.3133812, 1678141956.6653206, 1678141957.06285, 1678141957.3809834, 1678141957.731324, 1678141958.0473707, 1678141958.3825178, 1678141958.664344, 1678141958.9815001, 1678141959.2990744, 1678141959.6087255, 1678141959.9292417, 1678141960.2328074, 1678141960.5850809, 1678141960.8833086, 1678141961.1676316, 1678141961.5019884, 1678141961.8032823, 1678141962.168511, 1678141962.453712, 1678141962.8523197, 1678141963.154862, 1678141963.486448, 1678141963.822895, 1678141964.103696, 1678141964.4254494, 1678141964.7559464, 1678141965.1391604, 1678141965.4922652, 1678141965.8228314, 1678141966.1243796, 1678141966.4568412, 1678141966.774025, 1678141967.0570629, 1678141967.3571725, 1678141967.7076943, 1678141967.9921315, 1678141968.2754622, 1678141968.6091805, 1678141968.9760437, 1678141969.2934215, 1678141969.6621776, 1678141969.9937727, 1678141970.2940485, 1678141970.6295624, 1678141970.9794524, 1678141971.295265, 1678141971.6452842, 1678141971.9967132, 1678141972.2977636, 1678141972.653607, 1678141973.0137916, 1678141973.3472016, 1678141973.647598, 1678141974.032939, 1678141974.3827415, 1678141974.70367, 1678141975.0510569, 1678141975.369902, 1678141975.6684268, 1678141975.983578, 1678141976.3508897, 1678141976.6879506, 1678141976.9677942, 1678141977.2524512, 1678141977.6184995, 1678141977.9523346, 1678141978.319459, 1678141978.6028652, 1678141978.907675, 1678141979.2040753, 1678141979.5876124, 1678141979.9091842, 1678141980.255316, 1678141980.5586908, 1678141980.9054198, 1678141981.2867615, 1678141981.7084851, 1678141982.0903776, 1678141982.3740258, 1678141982.7077394, 1678141983.0414927, 1678141983.3586867, 1678141983.660045, 1678141983.9925134, 1678141984.3092766, 1678141984.6597137, 1678141984.9728794, 1678141985.3108711, 1678141985.6659474, 1678141985.961921, 1678141986.2793987, 1678141986.6865776, 1678141987.0459058, 1678141987.3472073, 1678141987.6806135, 1678141988.0312757, 1678141988.3642242, 1678141988.614924, 1678141988.947879, 1678141989.2990644, 1678141989.598685, 1678141989.952213, 1678141990.265784, 1678141990.549752, 1678141990.9000075, 1678141991.2172837, 1678141991.658723, 1678141992.0178783, 1678141992.3513675, 1678141992.6850479, 1678141993.0024135, 1678141993.2863166, 1678141993.6028395, 1678141993.9200008, 1678141994.2216387, 1678141994.5707972, 1678141994.8719172, 1678141995.2212389]"
